limit,wheel,segment_bytes,legacy_table_deep_bytes,compact_table_payload_bytes,compact_table_runtime_bytes,table_deep_to_payload_ratio,legacy_seconds,compact_seconds,speedup_legacy_over_compact
10000000,30,4096,804,38,198,21.157894736842106,3.2929597550000835,2.694362939000257,1.2221663634602753
10000000,210,4096,4524,258,418,17.53488372093023,2.6065720179999516,2.1445938009997008,1.2154152533616855
10000000,2310,4096,47824,5580,5740,8.570609318996416,2.4443558990001293,2.051092916000016,1.191733382691918
10000000,30030,4096,607616,71580,71740,8.48862810841017,2.1438704840002174,1.8200740809998024,1.1779028702076497
