N,M,phi,phi_over_M,prime_count,last_prime,checksum,time_seconds,segments,represented_candidates,strike_attempts,newly_removed,max_segment_storage_bytes,base_storage_bytes
100000000,210,48,0.22857142857142856,5761455,99999989,279209790387276,26.359522401000007,698,22857141,28560753,17095690,4096,5541
100000000,2310,480,0.2077922077922078,5761455,99999989,279209790387276,24.698923426000007,635,20779220,24075401,15017770,4096,5541
100000000,30030,5760,0.1918081918081918,5761455,99999989,279209790387276,22.075520877000002,586,19180819,20748015,13419370,4096,5541
