model,R,rho1,rho2,runs,normalized_Delta_shape_RMSE
observed,0.38033238210341364,-0.12369109862039233,-0.08177720152201445,256.0,
short_interval_theory,,-0.10875264548135335,-0.0443832998992698,,0.007332414948495403
old_independent_thinning,0.4105398871539494,-0.08075401993844256,-0.02704099760085523,237.076,0.04663526293157136
raw_random_sieve_quota_limit,0.30853740946867175,-0.10679206445839279,-0.036002941992342934,240.886,0.04524210778537073
interval_pair_kernel_bridge,0.3809716653684944,-0.10728678773252384,-0.037544156636438224,241.04275,0.037021763406960756
local_multiscale_point_model,0.3831043821979069,-0.11668101013594458,-0.03375420889922685,242.92708333333334,0.06890315198112222
