panel,sample_min_p,sample_intervals,wheel_through_q,model_valid_all_intervals,invalid_interval_count,dispersion_ratio_R,fraction_initial_dispersion_deficit_explained,surviving_candidates_total,actual_primes_total,prime_fraction_among_survivors,composite_candidates_eliminated_fraction,max_conditional_probability_mu_over_C,median_conditional_probability_mu_over_C
p>=59,59,984,0,True,0,0.25767534121463864,0.0,62832864,3719786,0.05920128040001487,0.0,0.12260973398958032,0.060975044215588345
p>=59,59,984,2,True,0,0.2763087115183914,0.025101375905041176,31415940,3719786,0.11840441508355312,0.5314716313706418,0.24624980187823275,0.12195288276190246
p>=59,59,984,3,True,0,0.29796414438674845,0.05427383112671066,20943632,3719786,0.17760940413773504,0.7086288418275225,0.3709332458672114,0.18293351583103246
p>=59,59,984,5,True,0,0.3166936891647239,0.07950476553837618,16754709,3719786,0.22201436026134502,0.7794917226269287,0.4651385146588841,0.22866885790269698
p>=59,59,984,7,True,0,0.3343197623995745,0.1032491919510613,14361039,3719786,0.2590192812650951,0.819984792536095,0.5426616004353648,0.2667803308037948
p>=59,59,984,11,True,0,0.3479749294755649,0.12164433336847542,13055400,3719786,0.28492317355270613,0.8420719354184196,0.598035233132851,0.29346424038352736
p>=59,59,984,13,True,0,0.3617097254779598,0.14014674446292655,12051062,3719786,0.3086687297766786,0.8590620505330478,0.6659937823524932,0.3178801578765904
p>=59,59,984,17,True,0,0.37360796616330855,0.15617509613430627,11342120,3719786,0.32796214464315315,0.8710550311726282,0.6814820098490627,0.33773519597601953
p>=59,59,984,19,True,0,0.3858385010632014,0.17265108781145896,10745116,3719786,0.3461838848459151,0.8811543868515864,0.7162853279818238,0.3564921219076227
p>=59,59,984,23,True,0,0.3971937822910285,0.1879480082268569,10277897,3719786,0.36192092604158227,0.8890582046835728,0.7651229639805844,0.372772298426327
p>=59,59,984,29,True,0,0.4071792641412747,0.20139964523240256,9923454,3719786,0.3748479108181486,0.8950542213349134,0.8015573908368028,0.3859831607726312
p>=59,59,984,31,True,0,0.41765647160282765,0.2155136953822338,9603318,3719786,0.38734383262118366,0.9004698757185339,0.8416352603786429,0.3988974622629924
p>=59,59,984,37,True,0,0.427769741534963,0.22913747820076946,9343759,3719786,0.3981038038331254,0.904860765328444,0.8859318530301504,0.40980038842354616
p>=59,59,984,41,True,0,0.43764622136351317,0.24244227646075275,9115863,3719786,0.4080563738178163,0.9087160205056485,0.9098759571661004,0.42027130552081216
p>=59,59,984,43,True,0,0.447304953615775,0.2554537427214399,8903869,3719786,0.41777186973438174,0.9123022658370116,0.9098759571661004,0.4301780745338905
p>=59,59,984,47,True,0,0.4628661580463186,0.2764165441673811,8714405,3719786,0.42685484551154096,0.91550737723385,0.9618688690041632,0.4394811590784503
p>=59,59,984,53,True,0,0.5033632870787872,0.33097101511642996,8549926,3719786,0.43506645554593104,0.918289824123183,0.9901591298572269,0.4479213445716939
p>=257,257,946,0,True,0,0.26107019757252037,0.0,62770334,3713678,0.059162947898285835,0.0,0.08993128605311812,0.06065615333256902
p>=257,257,946,2,True,0,0.27955357785927776,0.025013716087830134,31384694,3713678,0.1183276790909607,0.5314496642004247,0.17992025734424336,0.12131563498793549
p>=257,257,946,3,True,0,0.30090563456718367,0.053909636427978344,20922814,3713678,0.17749419365865413,0.708599552267233,0.2699669693933353,0.18197844525108336
p>=257,257,946,5,True,0,0.31923922709093167,0.07872064345939024,16738062,3713678,0.22187024997278657,0.7794595074939563,0.3375399292414866,0.22747773751875539
p>=257,257,946,7,True,0,0.33635850375057075,0.10188830648150689,14346775,3713678,0.2588510658318681,0.81995091289964,0.3939546084265104,0.265382497324145
p>=257,257,946,11,True,0,0.34950595589262284,0.11968086552955316,13042436,3713678,0.2847380658030448,0.8420371448054899,0.4342038408663706,0.2919565022195009
p>=257,257,946,13,True,0,0.3625360588049156,0.13731461486472296,12039098,3713678,0.30846812610047697,0.8590265591739566,0.470630337583348,0.3163042878233495
p>=257,257,946,17,True,0,0.37387010983590074,0.1526530827323761,11330860,3713678,0.3277489969869895,0.8710190770029377,0.5008851449994204,0.3360578357822966
p>=257,257,946,19,True,0,0.3852691487752931,0.16807949929041052,10734447,3713678,0.3459589487935429,0.8811180741422271,0.5292371343390102,0.35471465311707956
p>=257,257,946,23,True,0,0.3957402232612603,0.1822500936439856,10267687,3713678,0.36168593764106755,0.8890216709865861,0.553245919525987,0.37087353072299706
p>=257,257,946,29,True,0,0.40477152074457196,0.1944722255077197,9913589,3713678,0.3746047975158139,0.8950175743103368,0.5736107999993362,0.38413654017369797
p>=257,257,946,31,True,0,0.4139311811672539,0.2068680720314237,9593763,3713678,0.387092947782846,0.9004331535466552,0.5917630405056443,0.3968875736947455
p>=257,257,946,37,True,0,0.4221447400197274,0.21798355123593122,9334462,3713678,0.3978459604849214,0.9048238694720541,0.6045165543096452,0.40800839515853937
p>=257,257,946,41,True,0,0.4300203096878505,0.2286416267963577,9106797,3713678,0.4077918943400188,0.9086788964143178,0.6186063031227537,0.4182389620520065
p>=257,257,946,43,True,0,0.4380595233408433,0.23952116315635152,8895023,3713678,0.41750066301121425,0.9122648427638707,0.633173095258861,0.4280903640332172
p>=257,257,946,47,True,0,0.4458405180812571,0.2500512496609859,8705760,3713678,0.4265771167594788,0.9154696127731987,0.6492955583325819,0.4374164724003834
p>=257,257,946,53,True,0,0.4531646006647142,0.2599629930490541,8541466,3713678,0.43478227273866105,0.9182515853928471,0.6646817090039702,0.4458344784299063
p>=257,257,946,71,True,0,0.4799693191352317,0.2962380470290947,8020604,3713678,0.4630172490750073,0.9270712855804094,0.7119179725880086,0.4744012700712745
p>=257,257,946,97,True,0,0.5115188118899979,0.33893424449077786,7549723,3713678,0.4918959278373524,0.9350446628742406,0.7684813183552751,0.5043520370468596
p>=257,257,946,127,True,0,0.5470352089310516,0.38699888733557547,7144512,3713678,0.5197944940116274,0.9419060571258894,0.8298688792889805,0.533091605537368
p>=257,257,946,173,True,0,0.5989585738804024,0.4572672196978322,6733325,3713678,0.5515370192289842,0.9488686423423636,0.9184794401084607,0.5654425203546906
p>=257,257,946,251,False,2,,,6314638,3713678,0.5881062382356677,0.9559582242516407,1.0259610767168976,0.6013089709886366
p>=1009,1009,832,0,True,0,0.2734366380312015,0.0,61818416,3640443,0.058889296031137385,0.0,0.07226652605681563,0.05981839465863226
p>=1009,1009,832,2,True,0,0.29226447224283914,0.025913547526837968,30908792,3640443,0.11778017723889048,0.5312942752405623,0.14455092659447638,0.11964100162390043
p>=1009,1009,832,3,True,0,0.313899153167796,0.055690277344774934,20605584,3640443,0.17667264368726457,0.7083923669874164,0.21685320824544266,0.17946737993741863
p>=1009,1009,832,5,True,0,0.3323710405282278,0.08111392010922397,16484301,3640443,0.22084303119677323,0.7792316002484307,0.27106651030680334,0.2243385059864465
p>=1009,1009,832,7,True,0,0.34952774775004847,0.10472742461532848,14129282,3640443,0.25765237044600003,0.819711164567387,0.3162442620246039,0.26173083023230104
p>=1009,1009,832,11,True,0,0.36264142116067255,0.12277633004745683,12844726,3640443,0.2834192804112754,0.8417909300483879,0.34807587624864084,0.28787178135012526
p>=1009,1009,832,13,True,0,0.37556959591241,0.1405699258003523,11856607,3640443,0.3070391892048037,0.8587753478451372,0.3768016739016557,0.3118419006787273
p>=1009,1009,832,17,True,0,0.38678613095564296,0.15600771915789105,11159110,3640443,0.3262305864894243,0.8707643698758635,0.4005616149564551,0.33133908421434666
p>=1009,1009,832,19,True,0,0.39801970441055917,0.17146896320476418,10571743,3640443,0.3443559874658323,0.8808604074260201,0.4228794473382547,0.349780145920354
p>=1009,1009,832,23,True,0,0.40827545558534967,0.18558438893583884,10112066,3640443,0.36000981401822335,0.8887616280477837,0.4426026892759326,0.3656711039686873
p>=1009,1009,832,29,True,0,0.4171001020426838,0.19773012448933772,9763350,3640443,0.37286822658206453,0.8947555804324774,0.45823674476329973,0.37873090765467654
