stage,R,rho1,rho2,runs,delta_amplitude,normalized_Delta_shape_RMSE,note
observed,0.38033238210341364,-0.12369109862039233,-0.08177720152201445,256.0,,,Prime-square interval data
short_interval_pair_theory,0.38033238210341364,-0.10875264548135335,-0.0443832998992698,,0.1587099285451409,0.007332414948495403,Covariance kernel from short-interval variance law
old_independent_thinning_g1,0.4105398871539494,-0.08075401993844256,-0.02704099760085523,237.076,0.11352769810361994,0.04663526293157136,Same as pointwise Bernoulli thinning
block_quota_g4_R_match,0.38346106917199574,-0.08644159910263534,-0.029747927031899612,237.837,0.12204654457124733,0.04241437162980747,Matches R but pair amplitude remains too weak
raw_random_sieve_quota_limit,0.30853740946867175,-0.10679206445839279,-0.036002941992342934,240.886,0.14949015103795052,0.04524210778537073,Almost no thinning noise; pair kernel close to theory but R too low
pair_kernel_point_model,0.3809716653684944,-0.10728678773252384,-0.037544156636438224,241.04275,0.15146931963207563,0.037021763406960756,Raw sieve plus one theory-shaped latent pair field; lambda fitted only to R deficit
