base_wheel_q0,tail_cutoff_Q,simulations,base_survivors_total,tail_expected_survival_product,theta_mean,theta_max,R_observed,R_mc_mean,R_mc_sd,R_error_z,lag1_observed,lag1_mc_mean,lag1_mc_sd,lag1_error_z,runs_observed,runs_mc_mean,runs_mc_sd,runs_error_z,balance_score_R_lag1,balance_score_R_lag1_runs,runtime_seconds
29,7919,400,7396101,0.3954902892236677,0.9236984810653625,0.9654784190093252,0.4478701299490362,0.4752755368815078,0.0317858332178952,0.8621893516084549,-0.1236605920348701,-0.0637530485472711,0.048319222318761,1.2398283873939444,256,234.935,10.541992649521076,-1.998199078706148,1.5101473134151109,2.504664541681575,36.90191078186035
97,7919,400,5632144,0.5191821782229988,0.9240475158450188,0.9670459103140626,0.5461958159670286,0.5597749226262261,0.0354055807209336,0.3835301210345293,-0.1236687027678736,-0.0751280603312664,0.0444083545778484,1.093052037123215,256,235.595,9.761105108148914,-2.090439532606322,1.1583859933545342,2.3899363064908883,29.75127124786377
251,6311,400,4706394,0.6383903564738796,0.8989782518905369,0.9414487988436658,0.6668311316396729,0.6607386654380847,0.0409612649873201,-0.148737257100682,-0.1237069690819751,-0.0528677468440049,0.0471584084522724,1.50215464352798,256,232.38,9.95204541891013,-2.3733814513264835,1.509500362610923,2.812744364179424,19.81918239593506
997,1259,400,3796899,0.9675156503696736,0.7362529671474032,0.7829848514959772,0.98942406254616,0.9661201936119344,0.0696903659774937,-0.3343915418919068,-0.124266513277359,-0.0104107824680534,0.0462584978113319,2.4612933016907084,256,227.0275,10.641185593112624,-2.7226759411800963,2.48390467213144,3.6854778117521367,11.413844108581545
