reference_panel,held_out_targets,mean_kernel_rmse,max_kernel_rmse,mean_shape_rmse,max_shape_rmse,mean_kernel_rmse_at_2e12
X2e+07_off+0,17,0.00048789037026494944,0.0008011141701119607,0.0025207840901546137,0.003362287894094069,0.0004505884814858235
X2e+07_off+128,17,0.0005997809949743781,0.0009482221759305437,0.002395877877937511,0.00341561690213838,0.0005671558694434562
X2e+07_off-128,17,0.000448827400976272,0.000732766737343417,0.0030548710935216247,0.004487605176683501,0.0003840030187321723
