metric,observed,independent_mc_mean,independent_mc_sd,independent_mc_p,pair_mc_mean,pair_mc_sd,pair_mc_p
lag1,-0.12426651327735908,-0.002550063530760257,0.04705066510686878,0.01009979800403992,-0.11051751924028187,0.04619579745698144,0.7637847243055139
runs,256.0,225.60028,10.624136735152995,0.004899902001959961,241.16818,10.518856801695149,0.16811663766724666
R,0.9894240625461599,1.0020330867353262,0.06696252464247306,0.8521229575408492,1.0020972590959207,0.06778386973352943,0.8521829563408732
b2,0.8763700834857009,0.9974462110834565,0.04710842399710914,0.010399792004159917,0.8894799790486012,0.04623237760341205,0.7744445111097779
b3,0.7787720387328455,0.9950280129587582,0.0702397498788451,0.002239955200895982,0.8513962880415901,0.06298567272799172,0.24625507489850204
b5,0.6845106422927854,0.9901678706325148,0.10337027962990399,0.0036999260014799703,0.8186551703179986,0.08730915823595294,0.12361752764944701
b10,0.6465073607539812,0.9783619042551708,0.15896650558604933,0.03643927121457571,0.7876378221488136,0.1290340776054922,0.2693546129077418
b20,0.6119243206533825,0.955497537311809,0.23151130711267173,0.126437471250575,0.7589175913415395,0.1845411749127309,0.4201315973680526
b50,0.30784294424029435,0.8817479718868438,0.35888356371328256,0.08149837003259935,0.6945832299855055,0.283048936689719,0.13365732685346293
