max_pair_lag,min_eigenvalue,model_psd,lag1_mc_mean,lag1_mc_p,runs_mc_mean,runs_mc_p,b2_mc_mean,b2_mc_p,b3_mc_mean,b3_mc_p,b5_mc_mean,b5_mc_p,b10_mc_mean,b10_mc_p,b20_mc_mean,b20_mc_p,b50_mc_mean,b50_mc_p
1,0.7567474526723473,True,-0.11059552303724374,0.7657411419619347,241.13256666666666,0.1694610179660678,0.8893989453916882,0.7754074864171194,0.8514713027738783,0.24809173027565748,0.8185959933938662,0.12569581013966202,0.7874521651012383,0.27025765807806407,0.758681794745825,0.4219192693576881,0.694768589416763,0.13462884570514316
2,0.667599991586289,True,-0.11062872960523276,0.7564081197293424,241.24896666666666,0.1534948835038832,0.8893695233768022,0.7671744275190827,0.8217072157927391,0.4728842371920936,0.7660363433789533,0.30718976034132195,0.7187051363794049,0.5344488517049432,0.6830420699225567,0.6677444085197161,0.618565547627967,0.1761941268624379
3,0.6037569609692663,True,-0.10986362507997292,0.7462084597180094,241.14703333333333,0.15922802573247558,0.8901383008564813,0.7563414552848239,0.8232310694478729,0.44781840605313156,0.7459124375084806,0.42591913602879905,0.6827187388840384,0.7372087597080097,0.6393660530136324,0.8555048165061164,0.5743561035427456,0.21459284690510316
5,0.5263010485427791,True,-0.10960592782967163,0.7410086330455652,241.02093333333335,0.15406153128229058,0.8903775749494968,0.7526082463917869,0.8235002333448028,0.44315189493683543,0.7384975402087546,0.46331788940368657,0.6435409035345326,0.975967467751075,0.5859726640282236,0.848471717609413,0.5174426776031794,0.27995733475550816
10,0.41213626556251015,True,-0.10905547792712923,0.7324089197026766,240.9717,0.14232858904703177,0.8909399644530089,0.7431752274924169,0.8243657205217237,0.4358854704843172,0.7398787707118497,0.45671810939635343,0.6231301978942991,0.8015399486683777,0.5291444127668048,0.47521749275024167,0.445119795843138,0.40131995600146664
20,0.2959500097645292,True,-0.10916529038649213,0.7325755808139729,241.0802,0.15536148795040167,0.8908258631040805,0.7442751908269725,0.824146527751568,0.44465184493850207,0.7393560241536062,0.46741775274157527,0.6233862307162366,0.8047731742275257,0.5047721323494414,0.3142228592380254,0.3800144360830334,0.5979467351088297
50,0.1490334393681138,True,-0.10882669873028562,0.7275090830305656,240.9843,0.14609513016232792,0.8911819968939999,0.7390086997100097,0.8250158143459725,0.43438552048265056,0.7413211884916486,0.4515182827239092,0.6271007991732159,0.8391053631545615,0.5122935331943882,0.36325455818139396,0.35067341317075723,0.7243091896936769
