Q,tail_prime_count,tail_survival_product,R_mc_mean,R_observed,R_z,lag1_mc_mean,lag1_observed,lag1_z,runs_mc_mean,runs_observed,runs_z
997,0,1.0,1.0104006854752017,0.98942406254616,-0.3232170233520132,-0.0042520243850924,-0.124266513277359,-2.6283588164199414,225.878,256.0,2.847444799553948
1259,37,0.9675156503696736,0.9642556442192796,0.98942406254616,0.3884821425205574,-0.0069995305972118,-0.124266513277359,-2.383575983869389,225.998,256.0,2.686865663518108
1999,135,0.9099162469666358,0.8960611403875524,0.98942406254616,1.492144379231019,-0.0140028017984282,-0.124266513277359,-2.4489081527195595,227.282,256.0,2.736926585751732
3163,279,0.859373362244792,0.8467273193388586,0.98942406254616,2.5679278070460687,-0.0287325226092778,-0.124266513277359,-1.980700582177844,228.858,256.0,2.6415401015260493
3989,382,0.8348085361654652,0.8193576901661485,0.98942406254616,3.113210453602393,-0.0313157244062371,-0.124266513277359,-2.105990947576482,229.97,256.0,2.453147814586364
5003,502,0.8127258743252176,0.7939259902664497,0.98942406254616,3.574728939105518,-0.0390686898680702,-0.124266513277359,-1.777643563984297,230.41,256.0,2.3645017091843954
6311,653,0.7912600268241398,0.7717550734453537,0.98942406254616,3.9940013741236498,-0.0438741667653919,-0.124266513277359,-1.7329217724920083,231.876,256.0,2.3558960798306603
7919,832,0.7715233699126673,0.7580521242236296,0.98942406254616,4.606508155615325,-0.0508244929386208,-0.124266513277359,-1.5890532793177317,232.354,256.0,2.2689816531707736
