المكون_الأولي,عدد_مرات_التكرار,النسبة_من_1000
685621,1,0.001
686089,1,0.001
697381,1,0.001
709157,1,0.001
710849,1,0.001
716633,1,0.001
721997,1,0.001
733813,1,0.001
736037,1,0.001
761977,1,0.001
778693,1,0.001
791933,1,0.001
802589,1,0.001
804857,1,0.001
833477,1,0.001
839261,1,0.001
845069,1,0.001
856733,1,0.001
863693,1,0.001
873049,1,0.001
877937,1,0.001
881669,1,0.001
913853,1,0.001
922897,1,0.001
926161,1,0.001
930637,1,0.001
931169,1,0.001
940369,1,0.001
940649,1,0.001
954133,1,0.001
969569,1,0.001
989753,1,0.001
1000457,1,0.001
1000777,1,0.001
1015697,1,0.001
1035361,1,0.001
1052437,1,0.001
1064341,1,0.001
1093129,1,0.001
1108561,1,0.001
1123501,1,0.001
1127101,1,0.001
1171981,1,0.001
1178549,1,0.001
1192837,1,0.001
1196813,1,0.001
1202009,1,0.001
1203421,1,0.001
1214617,1,0.001
1244797,1,0.001
1248209,1,0.001
1250413,1,0.001
1327793,1,0.001
1330237,1,0.001
1389697,1,0.001
1419029,1,0.001
1420253,1,0.001
1421317,1,0.001
1441721,1,0.001
1446281,1,0.001
1460341,1,0.001
1469189,1,0.001
1479941,1,0.001
1503113,1,0.001
1512517,1,0.001
1515541,1,0.001
1534289,1,0.001
1537013,1,0.001
1573709,1,0.001
1602401,1,0.001
1610417,1,0.001
1636373,1,0.001
1639861,1,0.001
1676281,1,0.001
1708169,1,0.001
1724741,1,0.001
1744733,1,0.001
1768537,1,0.001
1806901,1,0.001
1808801,1,0.001
1814737,1,0.001
1836053,1,0.001
1899301,1,0.001
1954717,1,0.001
1977581,1,0.001
1991837,1,0.001
2045753,1,0.001
2211821,1,0.001
2230673,1,0.001
2275057,1,0.001
2316497,1,0.001
2334961,1,0.001
2378513,1,0.001
2403941,1,0.001
2473073,1,0.001
2503001,1,0.001
2506561,1,0.001
2574181,1,0.001
2577593,1,0.001
2601481,1,0.001
2669789,1,0.001
2700881,1,0.001
2740141,1,0.001
2763601,1,0.001
2812181,1,0.001
2834581,1,0.001
2853661,1,0.001
2956097,1,0.001
3023341,1,0.001
3195641,1,0.001
3223261,1,0.001
3229649,1,0.001
3248701,1,0.001
3291317,1,0.001
3356641,1,0.001
3403441,1,0.001
3535141,1,0.001
3543821,1,0.001
3567121,1,0.001
3584417,1,0.001
3656621,1,0.001
3674761,1,0.001
3696481,1,0.001
3723721,1,0.001
3729181,1,0.001
3736877,1,0.001
3847721,1,0.001
3889261,1,0.001
3973381,1,0.001
3990449,1,0.001
4053869,1,0.001
4307297,1,0.001
4404977,1,0.001
4452893,1,0.001
4503001,1,0.001
4538717,1,0.001
4648201,1,0.001
4655333,1,0.001
4737569,1,0.001
4832941,1,0.001
4853909,1,0.001
4864081,1,0.001
4937873,1,0.001
5091241,1,0.001
5202737,1,0.001
5237417,1,0.001
5377289,1,0.001
5501189,1,0.001
5541121,1,0.001
5695721,1,0.001
5735033,1,0.001
5741093,1,0.001
5749441,1,0.001
5964473,1,0.001
6093541,1,0.001
6110549,1,0.001
6119933,1,0.001
6121501,1,0.001
6226921,1,0.001
6262261,1,0.001
6376021,1,0.001
6811741,1,0.001
6848701,1,0.001
6878341,1,0.001
7415101,1,0.001
7679281,1,0.001
7956061,1,0.001
8084221,1,0.001
8197201,1,0.001
8319121,1,0.001
8400901,1,0.001
8824201,1,0.001
8950681,1,0.001
8993041,1,0.001
9197761,1,0.001
9456901,1,0.001
10401361,1,0.001
10760161,1,0.001
10815901,1,0.001
11002741,1,0.001
11143921,1,0.001
11324041,1,0.001
11515201,1,0.001
11524801,1,0.001
11863321,1,0.001
12495001,1,0.001
12545041,1,0.001
12605221,1,0.001
13933921,1,0.001
13944481,1,0.001
14574601,1,0.001
14747881,1,0.001
14802241,1,0.001
14965921,1,0.001
15295981,1,0.001
15629641,1,0.001
15966901,1,0.001
16068781,1,0.001
16307761,1,0.001
17046961,1,0.001
17105401,1,0.001
17117101,1,0.001
17281321,1,0.001
18174421,1,0.001
18611101,1,0.001
19213801,1,0.001
19350421,1,0.001
19851301,1,0.001
20028121,1,0.001
20218441,1,0.001
20231161,1,0.001
21654781,1,0.001
21905581,1,0.001
23317621,1,0.001
23399641,1,0.001
23605321,1,0.001
23798101,1,0.001
24297421,1,0.001
24985381,1,0.001
25625641,1,0.001
25999261,1,0.001
27758701,1,0.001
28042561,1,0.001
28433341,1,0.001
28569241,1,0.001
28796461,1,0.001
29498881,1,0.001
29961541,1,0.001
30101041,1,0.001
30646621,1,0.001
