المكون_الأولي,عدد_مرات_التكرار,النسبة_من_1000
2,999,0.999
5,508,0.508
13,166,0.166
17,125,0.125
29,72,0.072
37,52,0.052
41,48,0.048
53,37,0.037
61,35,0.035
73,25,0.025
89,24,0.024
97,23,0.023
113,18,0.018
101,17,0.017
109,16,0.016
193,15,0.015
137,14,0.014
149,14,0.014
157,14,0.014
173,13,0.013
181,11,0.011
197,11,0.011
229,9,0.009
257,9,0.009
293,8,0.008
317,8,0.008
233,7,0.007
269,7,0.007
277,7,0.007
281,7,0.007
313,7,0.007
241,6,0.006
337,6,0.006
349,6,0.006
409,6,0.006
421,6,0.006
373,5,0.005
401,5,0.005
457,5,0.005
509,5,0.005
577,5,0.005
733,5,0.005
353,4,0.004
433,4,0.004
449,4,0.004
461,4,0.004
557,4,0.004
593,4,0.004
653,4,0.004
661,4,0.004
709,4,0.004
809,4,0.004
853,4,0.004
397,3,0.003
521,3,0.003
541,3,0.003
613,3,0.003
617,3,0.003
641,3,0.003
757,3,0.003
761,3,0.003
773,3,0.003
877,3,0.003
881,3,0.003
941,3,0.003
953,3,0.003
1021,3,0.003
1061,3,0.003
1093,3,0.003
1129,3,0.003
1213,3,0.003
1237,3,0.003
1249,3,0.003
1277,3,0.003
1669,3,0.003
1693,3,0.003
569,2,0.002
601,2,0.002
677,2,0.002
701,2,0.002
769,2,0.002
829,2,0.002
929,2,0.002
997,2,0.002
1009,2,0.002
1033,2,0.002
1069,2,0.002
1153,2,0.002
1181,2,0.002
1193,2,0.002
1217,2,0.002
1289,2,0.002
1297,2,0.002
1301,2,0.002
1321,2,0.002
1373,2,0.002
1409,2,0.002
1489,2,0.002
1553,2,0.002
1609,2,0.002
1637,2,0.002
1657,2,0.002
1697,2,0.002
1709,2,0.002
1733,2,0.002
1741,2,0.002
1753,2,0.002
1789,2,0.002
1877,2,0.002
1913,2,0.002
1933,2,0.002
2089,2,0.002
2141,2,0.002
2269,2,0.002
2273,2,0.002
2281,2,0.002
2521,2,0.002
2657,2,0.002
2749,2,0.002
3121,2,0.002
3229,2,0.002
3301,2,0.002
4289,2,0.002
6257,2,0.002
389,1,0.001
673,1,0.001
797,1,0.001
821,1,0.001
857,1,0.001
977,1,0.001
1013,1,0.001
1049,1,0.001
1097,1,0.001
1117,1,0.001
1229,1,0.001
1361,1,0.001
1381,1,0.001
1429,1,0.001
1481,1,0.001
1493,1,0.001
1549,1,0.001
1597,1,0.001
1613,1,0.001
1621,1,0.001
1721,1,0.001
1777,1,0.001
1801,1,0.001
1861,1,0.001
1873,1,0.001
1889,1,0.001
1949,1,0.001
2017,1,0.001
2029,1,0.001
2053,1,0.001
2069,1,0.001
2081,1,0.001
2153,1,0.001
2213,1,0.001
2221,1,0.001
2237,1,0.001
2293,1,0.001
2297,1,0.001
2309,1,0.001
2333,1,0.001
2357,1,0.001
2377,1,0.001
2381,1,0.001
2389,1,0.001
2393,1,0.001
2417,1,0.001
2437,1,0.001
2477,1,0.001
2593,1,0.001
2609,1,0.001
2617,1,0.001
2633,1,0.001
2677,1,0.001
2693,1,0.001
2713,1,0.001
2729,1,0.001
2753,1,0.001
2789,1,0.001
2797,1,0.001
2801,1,0.001
2837,1,0.001
2897,1,0.001
2917,1,0.001
2957,1,0.001
3001,1,0.001
3037,1,0.001
3041,1,0.001
3049,1,0.001
3089,1,0.001
3109,1,0.001
3181,1,0.001
3361,1,0.001
3373,1,0.001
3389,1,0.001
3413,1,0.001
3457,1,0.001
3461,1,0.001
3529,1,0.001
3541,1,0.001
3581,1,0.001
3593,1,0.001
3617,1,0.001
3637,1,0.001
3697,1,0.001
3701,1,0.001
3709,1,0.001
3881,1,0.001
4001,1,0.001
4049,1,0.001
4057,1,0.001
4093,1,0.001
4133,1,0.001
4157,1,0.001
4177,1,0.001
4229,1,0.001
4297,1,0.001
4349,1,0.001
4357,1,0.001
4373,1,0.001
4421,1,0.001
4457,1,0.001
4493,1,0.001
4561,1,0.001
4597,1,0.001
4637,1,0.001
4649,1,0.001
4657,1,0.001
4673,1,0.001
4721,1,0.001
4789,1,0.001
4793,1,0.001
4817,1,0.001
4877,1,0.001
4889,1,0.001
4909,1,0.001
4933,1,0.001
4957,1,0.001
4973,1,0.001
5077,1,0.001
5101,1,0.001
5153,1,0.001
5209,1,0.001
5261,1,0.001
5273,1,0.001
5437,1,0.001
5557,1,0.001
5573,1,0.001
5641,1,0.001
5693,1,0.001
5717,1,0.001
5737,1,0.001
5749,1,0.001
5857,1,0.001
5861,1,0.001
5869,1,0.001
5881,1,0.001
6029,1,0.001
6053,1,0.001
6173,1,0.001
6229,1,0.001
6269,1,0.001
6277,1,0.001
6373,1,0.001
6389,1,0.001
6397,1,0.001
6521,1,0.001
6529,1,0.001
6673,1,0.001
6701,1,0.001
6737,1,0.001
6793,1,0.001
6829,1,0.001
6833,1,0.001
6869,1,0.001
6917,1,0.001
6977,1,0.001
7121,1,0.001
7193,1,0.001
7213,1,0.001
7333,1,0.001
7369,1,0.001
7433,1,0.001
7481,1,0.001
7537,1,0.001
7577,1,0.001
7673,1,0.001
7717,1,0.001
7841,1,0.001
7853,1,0.001
7873,1,0.001
8009,1,0.001
8089,1,0.001
8117,1,0.001
8269,1,0.001
8369,1,0.001
8389,1,0.001
8501,1,0.001
8581,1,0.001
8609,1,0.001
8641,1,0.001
8669,1,0.001
8681,1,0.001
8893,1,0.001
8941,1,0.001
9001,1,0.001
9049,1,0.001
9157,1,0.001
9173,1,0.001
9257,1,0.001
9341,1,0.001
9377,1,0.001
9661,1,0.001
9689,1,0.001
9949,1,0.001
10037,1,0.001
10169,1,0.001
10193,1,0.001
10357,1,0.001
10369,1,0.001
10453,1,0.001
10477,1,0.001
10861,1,0.001
10973,1,0.001
11117,1,0.001
11149,1,0.001
11173,1,0.001
11257,1,0.001
11317,1,0.001
11393,1,0.001
11437,1,0.001
11789,1,0.001
11909,1,0.001
12041,1,0.001
12097,1,0.001
12109,1,0.001
12161,1,0.001
12281,1,0.001
12377,1,0.001
12413,1,0.001
12421,1,0.001
12721,1,0.001
12757,1,0.001
12853,1,0.001
13469,1,0.001
13633,1,0.001
13669,1,0.001
13781,1,0.001
13913,1,0.001
13997,1,0.001
14009,1,0.001
14437,1,0.001
14593,1,0.001
14669,1,0.001
14717,1,0.001
14737,1,0.001
14957,1,0.001
15013,1,0.001
15629,1,0.001
15761,1,0.001
16033,1,0.001
16057,1,0.001
16249,1,0.001
16273,1,0.001
16381,1,0.001
16453,1,0.001
16481,1,0.001
16529,1,0.001
16573,1,0.001
16993,1,0.001
17033,1,0.001
17077,1,0.001
17189,1,0.001
17393,1,0.001
17909,1,0.001
17981,1,0.001
18013,1,0.001
18049,1,0.001
18149,1,0.001
18521,1,0.001
18749,1,0.001
18793,1,0.001
18869,1,0.001
19081,1,0.001
19157,1,0.001
19709,1,0.001
19801,1,0.001
19861,1,0.001
19973,1,0.001
20021,1,0.001
20357,1,0.001
20393,1,0.001
21157,1,0.001
22109,1,0.001
22453,1,0.001
22481,1,0.001
23197,1,0.001
23857,1,0.001
23893,1,0.001
23929,1,0.001
23977,1,0.001
24169,1,0.001
24197,1,0.001
24329,1,0.001
24697,1,0.001
24793,1,0.001
25301,1,0.001
25621,1,0.001
25913,1,0.001
26017,1,0.001
26153,1,0.001
26293,1,0.001
26801,1,0.001
26813,1,0.001
26921,1,0.001
27329,1,0.001
27457,1,0.001
27581,1,0.001
27697,1,0.001
28429,1,0.001
29009,1,0.001
29921,1,0.001
30169,1,0.001
30661,1,0.001
30677,1,0.001
30853,1,0.001
31189,1,0.001
31769,1,0.001
34057,1,0.001
34157,1,0.001
34217,1,0.001
34261,1,0.001
34457,1,0.001
34897,1,0.001
34961,1,0.001
35129,1,0.001
35573,1,0.001
36677,1,0.001
36721,1,0.001
36821,1,0.001
36997,1,0.001
37649,1,0.001
38069,1,0.001
38629,1,0.001
39157,1,0.001
39841,1,0.001
39937,1,0.001
40153,1,0.001
40213,1,0.001
41389,1,0.001
41777,1,0.001
41809,1,0.001
42409,1,0.001
42641,1,0.001
43717,1,0.001
44221,1,0.001
44533,1,0.001
44621,1,0.001
45013,1,0.001
45161,1,0.001
45293,1,0.001
45613,1,0.001
45833,1,0.001
46477,1,0.001
46649,1,0.001
48221,1,0.001
49853,1,0.001
51157,1,0.001
51229,1,0.001
52253,1,0.001
53089,1,0.001
53897,1,0.001
54401,1,0.001
54521,1,0.001
55009,1,0.001
55373,1,0.001
55633,1,0.001
55901,1,0.001
56093,1,0.001
56333,1,0.001
56473,1,0.001
58337,1,0.001
59669,1,0.001
59753,1,0.001
59957,1,0.001
60901,1,0.001
60917,1,0.001
62189,1,0.001
63521,1,0.001
63709,1,0.001
64781,1,0.001
65837,1,0.001
67733,1,0.001
68473,1,0.001
68521,1,0.001
70913,1,0.001
70949,1,0.001
71333,1,0.001
71821,1,0.001
72733,1,0.001
75277,1,0.001
75833,1,0.001
75997,1,0.001
76421,1,0.001
76801,1,0.001
76913,1,0.001
77093,1,0.001
77153,1,0.001
77773,1,0.001
77933,1,0.001
77969,1,0.001
78553,1,0.001
82021,1,0.001
83389,1,0.001
83641,1,0.001
85049,1,0.001
85549,1,0.001
86413,1,0.001
87797,1,0.001
89681,1,0.001
90529,1,0.001
90821,1,0.001
94573,1,0.001
95093,1,0.001
99401,1,0.001
100189,1,0.001
100621,1,0.001
100801,1,0.001
101081,1,0.001
105137,1,0.001
105337,1,0.001
106261,1,0.001
107137,1,0.001
110569,1,0.001
111109,1,0.001
111953,1,0.001
112997,1,0.001
114197,1,0.001
115321,1,0.001
120977,1,0.001
121661,1,0.001
122393,1,0.001
124633,1,0.001
124769,1,0.001
126481,1,0.001
129341,1,0.001
129641,1,0.001
132749,1,0.001
135257,1,0.001
135721,1,0.001
138581,1,0.001
140897,1,0.001
143357,1,0.001
147073,1,0.001
147137,1,0.001
152629,1,0.001
152717,1,0.001
155069,1,0.001
155833,1,0.001
159437,1,0.001
159589,1,0.001
160441,1,0.001
161881,1,0.001
162557,1,0.001
163021,1,0.001
163249,1,0.001
172093,1,0.001
174877,1,0.001
181813,1,0.001
182041,1,0.001
182617,1,0.001
186869,1,0.001
195157,1,0.001
199081,1,0.001
199729,1,0.001
202493,1,0.001
203017,1,0.001
204101,1,0.001
204973,1,0.001
205441,1,0.001
209381,1,0.001
212161,1,0.001
213881,1,0.001
216217,1,0.001
218461,1,0.001
220973,1,0.001
223229,1,0.001
232153,1,0.001
239017,1,0.001
246469,1,0.001
248041,1,0.001
252869,1,0.001
260209,1,0.001
262693,1,0.001
267497,1,0.001
273061,1,0.001
276557,1,0.001
277889,1,0.001
278489,1,0.001
281837,1,0.001
282001,1,0.001
302873,1,0.001
304049,1,0.001
306457,1,0.001
307301,1,0.001
316201,1,0.001
317741,1,0.001
319993,1,0.001
324997,1,0.001
329717,1,0.001
337021,1,0.001
341141,1,0.001
359153,1,0.001
366997,1,0.001
371237,1,0.001
373649,1,0.001
388081,1,0.001
389273,1,0.001
394817,1,0.001
397297,1,0.001
401017,1,0.001
401201,1,0.001
403061,1,0.001
411613,1,0.001
412109,1,0.001
423617,1,0.001
429413,1,0.001
431237,1,0.001
431521,1,0.001
433889,1,0.001
437881,1,0.001
444833,1,0.001
446477,1,0.001
462377,1,0.001
464777,1,0.001
477209,1,0.001
491041,1,0.001
500417,1,0.001
514021,1,0.001
516653,1,0.001
531481,1,0.001
536513,1,0.001
539761,1,0.001
550841,1,0.001
552301,1,0.001
553733,1,0.001
565013,1,0.001
571381,1,0.001
584713,1,0.001
590921,1,0.001
595141,1,0.001
608609,1,0.001
637321,1,0.001
655717,1,0.001
658897,1,0.001
662401,1,0.001
684869,1,0.001
