الترتيب,p,p^2,p^2 + 1,المكونات الأساسية لـ p² + 1,p² + 2,المكونات الأساسية لـ p² + 2
102,557,310249,310250,(2، 5، 17، 73),310251,(3، 19، 5443)
103,563,316969,316970,(2، 5، 29، 1093),316971,(3، 41، 859)
104,569,323761,323762,(2، 161881),323763,(3، 11، 9811)
105,571,326041,326042,(2، 163021),326043,(3، 17، 2131)
106,577,332929,332930,(2، 5، 13، 197),332931,(3، 110977)
107,587,344569,344570,(2، 5، 34457),344571,(3، 331، 347)
108,593,351649,351650,(2، 5، 13، 541),351651,(3، 251، 467)
109,599,358801,358802,(2، 17، 61، 173),358803,(3، 97، 137)
110,601,361201,361202,(2، 313، 577),361203,(3، 120401)
111,607,368449,368450,(2، 5، 7369),368451,(3، 40939)
112,613,375769,375770,(2، 5، 53، 709),375771,(3، 11، 59، 193)
113,617,380689,380690,(2، 5، 38069),380691,(3، 42299)
114,619,383161,383162,(2، 13، 14737),383163,(3، 11، 17، 683)
115,631,398161,398162,(2، 199081),398163,(3، 132721)
116,641,410881,410882,(2، 205441),410883,(3، 11، 12451)
117,643,413449,413450,(2، 5، 8269),413451,(3، 15313)
118,647,418609,418610,(2، 5، 41، 1021),418611,(3، 139537)
119,653,426409,426410,(2، 5، 42641),426411,(3، 17، 929)
120,659,434281,434282,(2، 17، 53، 241),434283,(3، 19، 401)
121,661,436921,436922,(2، 218461),436923,(3، 43، 1129)
122,673,452929,452930,(2، 5، 45293),452931,(3، 17، 83، 107)
123,677,458329,458330,(2، 5، 45833),458331,(3، 152777)
124,683,466489,466490,(2، 5، 46649),466491,(3، 131، 1187)
125,691,477481,477482,(2، 193، 1237),477483,(3، 159161)
126,701,491401,491402,(2، 17، 97، 149),491403,(3، 11، 14891)
127,709,502681,502682,(2، 37، 6793),502683,(3، 19، 8819)
128,719,516961,516962,(2، 53، 4877),516963,(3، 172321)
129,727,528529,528530,(2، 5، 17، 3109),528531,(3، 41، 4297)
130,733,537289,537290,(2، 5، 13، 4133),537291,(3، 59699)
131,739,546121,546122,(2، 273061),546123,(3، 182041)
132,743,552049,552050,(2، 5، 61، 181),552051,(3، 61339)
133,751,564001,564002,(2، 282001),564003,(3، 11، 211)
134,757,573049,573050,(2، 5، 73، 157),573051,(3، 67، 2851)
135,761,579121,579122,(2، 17، 17033),579123,(3، 89، 241)
136,769,591361,591362,(2، 17، 17393),591363,(3، 65707)
137,773,597529,597530,(2، 5، 59753),597531,(3، 11، 19، 953)
138,787,619369,619370,(2، 5، 241، 257),619371,(3، 68819)
139,797,635209,635210,(2، 5، 63521),635211,(3، 163، 433)
140,809,654481,654482,(2، 229، 1429),654483,(3، 17، 41، 313)
141,811,657721,657722,(2، 13، 41، 617),657723,(3، 11، 19، 1049)
142,821,674041,674042,(2، 337021),674043,(3، 83، 2707)
143,823,677329,677330,(2، 5، 67733),677331,(3، 17، 19، 233)
144,827,683929,683930,(2، 5، 13، 5261),683931,(3، 227977)
145,829,687241,687242,(2، 17، 29، 41),687243,(3، 229081)
146,839,703921,703922,(2، 109، 3229),703923,(3، 11، 83، 257)
147,853,727609,727610,(2، 5، 13، 29، 193),727611,(3، 409، 593)
148,857,734449,734450,(2، 5، 37، 397),734451,(3، 17، 14401)
149,859,737881,737882,(2، 137، 2693),737883,(3، 27329)
150,863,744769,744770,(2، 5، 13، 17، 337),744771,(3، 248257)
151,877,769129,769130,(2، 5، 76913),769131,(3، 11، 17، 457)
152,881,776161,776162,(2، 388081),776163,(3، 258721)
153,883,779689,779690,(2، 5، 77969),779691,(3، 11، 23627)
154,887,786769,786770,(2، 5، 29، 2713),786771,(3، 19، 43، 107)
155,907,822649,822650,(2، 5، 16453),822651,(3، 443، 619)
156,911,829921,829922,(2، 29، 41، 349),829923,(3، 17، 16273)
157,919,844561,844562,(2، 37، 101، 113),844563,(3، 43، 6547)
158,929,863041,863042,(2، 431521),863043,(3، 287681)
159,937,877969,877970,(2، 5، 87797),877971,(3، 19، 73، 211)
160,941,885481,885482,(2، 13، 34057),885483,(3، 98387)
161,947,896809,896810,(2، 5، 89681),896811,(3، 298937)
162,953,908209,908210,(2، 5، 90821),908211,(3، 97، 3121)
163,967,935089,935090,(2، 5، 13، 7193),935091,(3، 59، 587)
164,971,942841,942842,(2، 197، 2393),942843,(3، 11، 28571)
165,977,954529,954530,(2، 5، 53، 1801),954531,(3، 35353)
166,983,966289,966290,(2، 5، 13، 7433),966291,(3، 322097)
167,991,982081,982082,(2، 491041),982083,(3، 113، 2897)
168,997,994009,994010,(2، 5، 99401),994011,(3، 331337)
169,1009,1018081,1018082,(2، 13، 39157),1018083,(3، 11، 30851)
170,1013,1026169,1026170,(2، 5، 89، 1153),1026171,(3، 17، 19، 353)
171,1019,1038361,1038362,(2، 13، 39937),1038363,(3، 89، 3889)
172,1021,1042441,1042442,(2، 233، 2237),1042443,(3، 38609)
173,1031,1062961,1062962,(2، 531481),1062963,(3، 11، 1193)
174,1033,1067089,1067090,(2، 5، 17، 6277),1067091,(3، 355697)
175,1039,1079521,1079522,(2، 539761),1079523,(3، 19، 59، 107)
176,1049,1100401,1100402,(2، 73، 7537),1100403,(3، 122267)
177,1051,1104601,1104602,(2، 552301),1104603,(3، 19، 19379)
178,1061,1125721,1125722,(2، 13، 29، 1493),1125723,(3، 17، 22073)
179,1063,1129969,1129970,(2، 5، 112997),1129971,(3، 376657)
180,1069,1142761,1142762,(2، 571381),1142763,(3، 313، 1217)
181,1087,1181569,1181570,(2، 5، 13، 61، 149),1181571,(3، 393857)
182,1091,1190281,1190282,(2، 595141),1190283,(3، 43، 9227)
183,1093,1194649,1194650,(2، 5، 23893),1194651,(3، 132739)
184,1097,1203409,1203410,(2، 5، 13، 9257),1203411,(3، 11، 36467)
185,1103,1216609,1216610,(2، 5، 121661),1216611,(3، 11، 12289)
186,1109,1229881,1229882,(2، 17، 61، 593),1229883,(3، 409961)
187,1117,1247689,1247690,(2، 5، 124769),1247691,(3، 89، 4673)
188,1123,1261129,1261130,(2، 5، 13، 89، 109),1261131,(3، 163، 2579)
189,1129,1274641,1274642,(2، 637321),1274643,(3، 17، 2777)
190,1151,1324801,1324802,(2، 662401),1324803,(3، 131، 3371)
191,1153,1329409,1329410,(2، 5، 37، 3593),1329411,(3، 19، 83، 281)
192,1163,1352569,1352570,(2، 5، 135257),1352571,(3، 11، 17، 2411)
193,1171,1371241,1371242,(2، 685621),1371243,(3، 83، 5507)
194,1181,1394761,1394762,(2، 697381),1394763,(3، 97، 4793)
195,1187,1408969,1408970,(2، 5، 140897),1408971,(3، 469657)
196,1193,1423249,1423250,(2، 5، 5693),1423251,(3، 5857)
197,1201,1442401,1442402,(2، 13، 29، 1913),1442403,(3، 139، 1153)
198,1213,1471369,1471370,(2، 5، 147137),1471371,(3، 11، 44587)
199,1217,1481089,1481090,(2، 5، 13، 11393),1481091,(3، 17، 113، 257)
200,1223,1495729,1495730,(2، 5، 373، 401),1495731,(3، 498577)
201,1229,1510441,1510442,(2، 773، 977),1510443,(3، 11، 19، 73)
202,1231,1515361,1515362,(2، 61، 12421),1515363,(3، 17، 43، 691)
203,1237,1530169,1530170,(2، 5، 17، 9001),1530171,(3، 2099)
204,1249,1560001,1560002,(2، 53، 14717),1560003,(3، 331، 1571)
205,1259,1585081,1585082,(2، 29، 27329),1585083,(3، 283، 1867)
206,1277,1630729,1630730,(2، 5، 313، 521),1630731,(3، 617، 881)
207,1279,1635841,1635842,(2، 13، 17، 3701),1635843,(3، 11، 19، 2609)
208,1283,1646089,1646090,(2، 5، 97، 1697),1646091,(3، 182899)
209,1289,1661521,1661522,(2، 37، 22453),1661523,(3، 233، 2377)
210,1291,1666681,1666682,(2، 173، 4817),1666683,(3، 61729)
211,1297,1682209,1682210,(2، 5، 149، 1129),1682211,(3، 560737)
212,1301,1692601,1692602,(2، 37، 89، 257),1692603,(3، 11، 41، 139)
213,1303,1697809,1697810,(2، 5، 41، 101),1697811,(3، 565937)
214,1307,1708249,1708250,(2، 5، 6833),1708251,(3، 569417)
215,1319,1739761,1739762,(2، 509، 1709),1739763,(3، 17، 83، 137)
216,1321,1745041,1745042,(2، 13، 41، 1637),1745043,(3، 59، 9859)
217,1327,1760929,1760930,(2، 5، 293، 601),1760931,(3، 195659)
218,1361,1852321,1852322,(2، 926161),1852323,(3، 11، 56131)
219,1367,1868689,1868690,(2، 5، 186869),1868691,(3، 11، 17، 3331)
220,1373,1885129,1885130,(2، 5، 13، 17، 853),1885131,(3، 209459)
221,1381,1907161,1907162,(2، 17، 56093),1907163,(3، 19، 587)
222,1399,1957201,1957202,(2، 13، 75277),1957203,(3، 73، 331)
223,1409,1985281,1985282,(2، 13، 29، 2633),1985283,(3، 73529)
224,1423,2024929,2024930,(2، 5، 202493),2024931,(3، 674977)
225,1427,2036329,2036330,(2، 5، 269، 757),2036331,(3، 11، 67، 307)
226,1429,2042041,2042042,(2، 181، 5641),2042043,(3، 680681)
227,1433,2053489,2053490,(2، 5، 29، 73، 97),2053491,(3، 11، 5657)
228,1439,2070721,2070722,(2، 1035361),2070723,(3، 59، 11699)
229,1447,2093809,2093810,(2، 5، 209381),2093811,(3، 697937)
230,1451,2105401,2105402,(2، 13، 6229),2105403,(3، 547، 1283)
231,1453,2111209,2111210,(2، 5، 61، 3461),2111211,(3، 78193)
232,1459,2128681,2128682,(2، 1064341),2128683,(3، 709561)
233,1471,2163841,2163842,(2، 317، 3413),2163843,(3، 11، 1987)
