الترتيب,p,p^2,p^2 + 1,المكونات الأساسية لـ p² + 1,p² + 2,المكونات الأساسية لـ p² + 2
385,2659,7070281,7070282,(2، 3535141),7070283,(3، 11، 17، 4201)
386,2663,7091569,7091570,(2، 5، 709157),7091571,(3، 2363857)
387,2671,7134241,7134242,(2، 3567121),7134243,(3، 523، 4547)
388,2677,7166329,7166330,(2، 5، 716633),7166331,(3، 796259)
389,2683,7198489,7198490,(2، 5، 13، 55373),7198491,(3، 2399497)
390,2687,7219969,7219970,(2، 5، 721997),7219971,(3، 11، 233، 313)
391,2689,7230721,7230722,(2، 1021، 3541),7230723,(3، 73، 137، 241)
392,2693,7252249,7252250,(2، 5، 29009),7252251,(3، 17، 43، 3307)
393,2699,7284601,7284602,(2، 13، 17، 16481),7284603,(3، 97، 25033)
394,2707,7327849,7327850,(2، 5، 17، 37، 233),7327851,(3، 2442617)
395,2711,7349521,7349522,(2، 3674761),7349523,(3، 19، 128939)
396,2713,7360369,7360370,(2، 5، 736037),7360371,(3، 17، 73، 659)
397,2719,7392961,7392962,(2، 3696481),7392963,(3، 89، 27689)
398,2729,7447441,7447442,(2، 3723721),7447443,(3، 2482481)
399,2731,7458361,7458362,(2، 3729181),7458363,(3، 11، 75337)
400,2741,7513081,7513082,(2، 17، 220973),7513083,(3، 834787)
401,2749,7557001,7557002,(2، 1093، 3457),7557003,(3، 19، 14731)
402,2753,7579009,7579010,(2، 5، 509، 1489),7579011,(3، 11، 163، 1409)
403,2767,7656289,7656290,(2، 5، 17، 29، 1553),7656291,(3، 67، 12697)
404,2777,7711729,7711730,(2، 5، 13، 137، 433),7711731,(3، 41، 20899)
405,2789,7778521,7778522,(2، 3889261),7778523,(3، 163، 15907)
406,2791,7789681,7789682,(2، 97، 40153),7789683,(3، 11، 137، 1723)
407,2797,7823209,7823210,(2، 5، 41، 19081),7823211,(3، 11، 237067)
408,2801,7845601,7845602,(2، 17، 29، 73، 109),7845603,(3، 787، 3323)
409,2803,7856809,7856810,(2، 5، 13، 4649),7856811,(3، 290993)
410,2819,7946761,7946762,(2، 3973381),7946763,(3، 11، 240811)
411,2833,8025889,8025890,(2، 5، 802589),8025891,(3، 2675297)
412,2837,8048569,8048570,(2، 5، 804857),8048571,(3، 19، 337، 419)
413,2843,8082649,8082650,(2، 5، 17، 37، 257),8082651,(3، 2694217)
414,2851,8128201,8128202,(2، 457، 8893),8128203,(3، 113، 23977)
415,2857,8162449,8162450,(2، 5، 163249),8162451,(3، 11، 9161)
416,2861,8185321,8185322,(2، 41، 173، 577),8185323,(3، 67، 193، 211)
417,2879,8288641,8288642,(2، 41، 101081),8288643,(3، 11، 251171)
418,2887,8334769,8334770,(2، 5، 833477),8334771,(3، 2778257)
419,2897,8392609,8392610,(2، 5، 839261),8392611,(3، 17، 43، 89)
420,2903,8427409,8427410,(2، 5، 17، 89، 557),8427411,(3، 936379)
421,2909,8462281,8462282,(2، 577، 7333),8462283,(3، 1049، 2689)
422,2917,8508889,8508890,(2، 5، 13، 29، 37، 61),8508891,(3، 17، 166841)
423,2927,8567329,8567330,(2، 5، 856733),8567331,(3، 59، 97، 499)
424,2939,8637721,8637722,(2، 61، 101، 701),8637723,(3، 19، 50513)
425,2953,8720209,8720210,(2، 5، 113، 7717),8720211,(3، 809، 3593)
426,2957,8743849,8743850,(2، 5، 174877),8743851,(3، 283، 3433)
427,2963,8779369,8779370,(2، 5، 877937),8779371,(3، 41، 137، 521)
428,2969,8814961,8814962,(2، 13، 197، 1721),8814963,(3، 139، 21139)
429,2971,8826841,8826842,(2، 17، 89، 2917),8826843,(3، 2942281)
430,2999,8994001,8994002,(2، 29، 155069),8994003,(3، 17، 176353)
431,3001,9006001,9006002,(2، 4503001),9006003,(3، 1000667)
432,3011,9066121,9066122,(2، 13، 157، 2221),9066123,(3، 11، 91577)
433,3019,9114361,9114362,(2، 109، 41809),9114363,(3، 17، 6619)
434,3023,9138529,9138530,(2، 5، 913853),9138531,(3، 41، 74297)
435,3037,9223369,9223370,(2، 5، 13، 70949),9223371,(3، 43، 23833)
436,3041,9247681,9247682,(2، 269، 17189),9247683,(3، 131، 23531)
437,3049,9296401,9296402,(2، 4648201),9296403,(3، 3098801)
438,3061,9369721,9369722,(2، 61، 76801),9369723,(3، 11، 499، 569)
439,3067,9406489,9406490,(2، 5، 940649),9406491,(3، 17، 184441)
440,3079,9480241,9480242,(2، 853، 5557),9480243,(3، 163، 19387)
441,3083,9504889,9504890,(2، 5، 761، 1249),9504891,(3، 11، 32003)
442,3089,9541921,9541922,(2، 13، 366997),9541923,(3، 3180641)
443,3109,9665881,9665882,(2، 4832941),9665883,(3، 601، 1787)
444,3119,9728161,9728162,(2، 4864081),9728163,(3، 1080907)
445,3121,9740641,9740642,(2، 101، 48221),9740643,(3، 11، 17، 97، 179)
446,3137,9840769,9840770,(2، 5، 881، 1117),9840771,(3، 13499)
447,3163,10004569,10004570,(2، 5، 1000457),10004571,(3، 59، 83، 227)
448,3167,10029889,10029890,(2، 5، 13، 77153),10029891,(3، 19، 175963)
449,3169,10042561,10042562,(2، 193، 26017),10042563,(3، 17، 67، 2939)
450,3181,10118761,10118762,(2، 337، 15013),10118763,(3، 41641)
451,3187,10156969,10156970,(2، 5، 1015697),10156971,(3، 11، 41، 7507)
452,3191,10182481,10182482,(2، 5091241),10182483,(3، 377129)
453,3203,10259209,10259210,(2، 5، 13، 53، 1489),10259211,(3، 17، 11833)
454,3209,10297681,10297682,(2، 17، 302873),10297683,(3، 11، 41، 43، 59)
455,3217,10349089,10349090,(2، 5، 17، 3581),10349091,(3، 19، 60521)
456,3221,10374841,10374842,(2، 857، 6053),10374843,(3، 3458281)
457,3229,10426441,10426442,(2، 13، 401017),10426443,(3، 337، 10313)
458,3251,10569001,10569002,(2، 17، 137، 2269),10569003,(3، 113، 31177)
459,3253,10582009,10582010,(2، 5، 373، 2837),10582011,(3، 11، 89، 1201)
460,3257,10608049,10608050,(2، 5، 212161),10608051,(3، 17، 208001)
461,3259,10621081,10621082,(2، 89، 59669),10621083,(3، 11، 321851)
462,3271,10699441,10699442,(2، 13، 41، 10037),10699443,(3، 17، 69931)
463,3299,10883401,10883402,(2، 37، 147073),10883403,(3، 134363)
464,3301,10896601,10896602,(2، 953، 5717),10896603,(3، 3632201)
465,3307,10936249,10936250,(2، 5، 13، 673),10936251,(3، 409، 2971)
466,3313,10975969,10975970,(2، 5، 229، 4793),10975971,(3، 313، 11689)
467,3319,11015761,11015762,(2، 17، 281، 1153),11015763,(3، 11، 19، 17569)
468,3323,11042329,11042330,(2، 5، 13، 29، 101),11042331,(3، 179، 20563)
469,3329,11082241,11082242,(2، 5541121),11082243,(3، 83، 44507)
470,3331,11095561,11095562,(2، 73، 75997),11095563,(3، 19، 194659)
471,3343,11175649,11175650,(2، 5، 101، 2213),11175651,(3، 281، 491)
472,3347,11202409,11202410,(2، 5، 29، 38629),11202411,(3، 11، 339467)
473,3359,11282881,11282882,(2، 13، 641، 677),11282883,(3، 17، 221233)
474,3361,11296321,11296322,(2، 37، 293، 521),11296323,(3، 1255147)
475,3371,11363641,11363642,(2، 41، 138581),11363643,(3، 233، 5419)
476,3373,11377129,11377130,(2، 5، 37، 97، 317),11377131,(3، 17، 41، 5441)
477,3389,11485321,11485322,(2، 2089، 2749),11485323,(3، 1276147)
478,3391,11498881,11498882,(2، 5749441),11498883,(3، 11، 348451)
479,3407,11607649,11607650,(2، 5، 232153),11607651,(3، 11، 17، 19)
480,3413,11648569,11648570,(2، 5، 17، 68521),11648571,(3، 11، 43، 8209)
481,3433,11785489,11785490,(2، 5، 1178549),11785491,(3، 19، 41)
482,3449,11895601,11895602,(2، 709، 8389),11895603,(3، 1657، 2393)
483,3457,11950849,11950850,(2، 5، 239017),11950851,(3، 11، 362147)
484,3461,11978521,11978522,(2، 373، 16057),11978523,(3، 17، 8699)
485,3463,11992369,11992370,(2، 5، 13، 29، 3181),11992371,(3، 3997457)
486,3467,12020089,12020090,(2، 5، 1202009),12020091,(3، 43، 93179)
487,3469,12033961,12033962,(2، 1361، 4421),12033963,(3، 211، 6337)
488,3491,12187081,12187082,(2، 6093541),12187083,(3، 4062361)
489,3499,12243001,12243002,(2، 6121501),12243003,(3، 43، 94907)
490,3511,12327121,12327122,(2، 2377، 2593),12327123,(3، 89، 137، 337)
491,3517,12369289,12369290,(2، 5، 41، 30169),12369291,(3، 11، 59، 6353)
492,3527,12439729,12439730,(2، 5، 61، 20393),12439731,(3، 4146577)
493,3529,12453841,12453842,(2، 6226921),12453843,(3، 17، 113، 2161)
494,3533,12482089,12482090,(2، 5، 1248209),12482091,(3، 433، 3203)
495,3539,12524521,12524522,(2، 6262261),12524523,(3، 11، 379531)
496,3541,12538681,12538682,(2، 13، 277، 1741),12538683,(3، 1393187)
497,3547,12581209,12581210,(2، 5، 457، 2753),12581211,(3، 19، 11617)
498,3557,12652249,12652250,(2، 5، 13، 17، 229),12652251,(3، 4217417)
499,3559,12666481,12666482,(2، 337، 18793),12666483,(3، 19، 24691)
500,3571,12752041,12752042,(2، 6376021),12752043,(3، 67، 63443)
501,3581,12823561,12823562,(2، 53، 120977),12823563,(3، 4274521)
502,3583,12837889,12837890,(2، 5، 13، 17، 37، 157),12837891,(3، 11، 389027)
503,3593,12909649,12909650,(2، 5، 13، 19861),12909651,(3، 4303217)
504,3607,13010449,13010450,(2، 5، 260209),13010451,(3، 107، 40531)
505,3613,13053769,13053770,(2، 5، 29، 45013),13053771,(3، 137، 3529)
506,3617,13082689,13082690,(2، 5، 17، 41، 1877),13082691,(3، 227، 19211)
507,3623,13126129,13126130,(2، 5، 73، 17981),13126131,(3، 19، 2843)
508,3631,13184161,13184162,(2، 113، 58337),13184163,(3، 17، 86171)
509,3637,13227769,13227770,(2، 5، 29، 45613),13227771,(3، 4409257)
510,3643,13271449,13271450,(2، 5، 433، 613),13271451,(3، 83، 53299)
511,3659,13388281,13388282,(2، 17، 449، 877),13388283,(3، 617، 2411)
512,3671,13476241,13476242,(2، 13، 29، 61، 293),13476243,(3، 11، 43، 9497)
513,3673,13490929,13490930,(2، 5، 109، 12377),13490931,(3، 19، 12457)
514,3677,13520329,13520330,(2، 5، 73، 18521),13520331,(3، 11، 45523)
515,3691,13623481,13623482,(2، 6811741),13623483,(3، 2131)
516,3697,13667809,13667810,(2، 5، 13، 105137),13667811,(3، 4555937)
517,3701,13697401,13697402,(2، 6848701),13697403,(3، 41، 193، 577)
518,3709,13756681,13756682,(2، 6878341),13756683,(3، 4585561)
519,3719,13830961,13830962,(2، 17، 23929),13830963,(3، 4610321)
520,3727,13890529,13890530,(2، 5، 17، 101، 809),13890531,(3، 4630177)
521,3733,13935289,13935290,(2، 5، 53، 26293),13935291,(3، 17، 16073)
522,3739,13980121,13980122,(2، 13، 109، 4933),13980123,(3، 1553347)
523,3761,14145121,14145122,(2، 17، 97، 4289),14145123,(3، 41، 115001)
524,3767,14190289,14190290,(2، 5، 1419029),14190291,(3، 17، 163، 569)
525,3769,14205361,14205362,(2، 73، 149، 653),14205363,(3، 4735121)
526,3779,14280841,14280842,(2، 193، 36997),14280843,(3، 4760281)
527,3793,14386849,14386850,(2، 5، 53، 61، 89),14386851,(3، 1598539)
528,3797,14417209,14417210,(2، 5، 1441721),14417211,(3، 4805737)
529,3803,14462809,14462810,(2، 5، 1446281),14462811,(3، 11، 139، 1051)
530,3821,14600041,14600042,(2، 17، 429413),14600043,(3، 107، 15161)
531,3823,14615329,14615330,(2، 5، 73، 20021),14615331,(3، 1097، 4441)
532,3833,14691889,14691890,(2، 5، 1469189),14691891,(3، 4897297)
533,3847,14799409,14799410,(2، 5، 1479941),14799411,(3، 11، 149489)
534,3851,14830201,14830202,(2، 7415101),14830203,(3، 19، 260179)
535,3853,14845609,14845610,(2، 5، 13، 114197),14845611,(3، 11، 40897)
536,3863,14922769,14922770,(2، 5، 17، 41، 2141),14922771,(3، 19، 97، 2699)
537,3877,15031129,15031130,(2، 5، 1503113),15031131,(3، 659، 7603)
538,3881,15062161,15062162,(2، 281، 26801),15062163,(3، 73، 68777)
539,3889,15124321,15124322,(2، 17، 444833),15124323,(3، 19، 265339)
540,3907,15264649,15264650,(2، 5، 397، 769),15264651,(3، 5088217)
541,3911,15295921,15295922,(2، 881، 8681),15295923,(3، 1699547)
542,3917,15342889,15342890,(2، 5، 1534289),15342891,(3، 17، 59، 5099)
543,3919,15358561,15358562,(2، 7679281),15358563,(3، 11، 155137)
544,3923,15389929,15389930,(2، 5، 17، 90529),15389931,(3، 257، 19961)
545,3929,15437041,15437042,(2، 101، 76421),15437043,(3، 43، 113، 353)
546,3931,15452761,15452762,(2، 13، 17، 34961),15452763,(3، 5150921)
547,3943,15547249,15547250,(2، 5، 62189),15547251,(3، 5182417)
548,3947,15578809,15578810,(2، 5، 13، 293، 409),15578811,(3، 41، 4691)
549,3967,15737089,15737090,(2، 5، 1573709),15737091,(3، 857، 6121)
550,3989,15912121,15912122,(2، 7956061),15912123,(3، 59، 89899)
551,4001,16008001,16008002,(2، 181، 44221),16008003,(3، 11، 53899)
552,4003,16024009,16024010,(2، 5، 1602401),16024011,(3، 19، 73، 3851)
553,4007,16056049,16056050,(2، 5، 317، 1013),16056051,(3، 11، 41، 11867)
554,4013,16104169,16104170,(2، 5، 1610417),16104171,(3، 827، 6491)
555,4019,16152361,16152362,(2، 29، 278489),16152363,(3، 17، 193، 547)
556,4021,16168441,16168442,(2، 8084221),16168443,(3، 5389481)
557,4027,16216729,16216730,(2، 5، 37، 41، 1069),16216731,(3، 73، 24683)
558,4049,16394401,16394402,(2، 8197201),16394403,(3، 379، 14419)
559,4051,16410601,16410602,(2، 13، 53، 11909),16410603,(3، 11، 497291)
560,4057,16459249,16459250,(2، 5، 65837),16459251,(3، 97، 163، 347)
561,4073,16589329,16589330,(2، 5، 137، 12109),16589331,(3، 11، 17، 9857)
562,4079,16638241,16638242,(2، 8319121),16638243,(3، 19، 291899)
563,4091,16736281,16736282,(2، 41، 204101),16736283,(3، 19، 97، 1009)
564,4093,16752649,16752650,(2، 5، 17، 19709),16752651,(3، 163، 34259)
565,4099,16801801,16801802,(2، 8400901),16801803,(3، 307، 2027)
566,4111,16900321,16900322,(2، 53، 159437),16900323,(3، 11، 41، 12491)
567,4127,17032129,17032130,(2، 5، 17، 100189),17032131,(3، 211، 8969)
568,4129,17048641,17048642,(2، 13، 655717),17048643,(3، 19، 299099)
569,4133,17081689,17081690,(2، 5، 1708169),17081691,(3، 11، 47057)
570,4139,17131321,17131322,(2، 13، 658897),17131323,(3، 11، 519131)
571,4153,17247409,17247410,(2، 5، 1724741),17247411,(3، 59، 401)
572,4157,17280649,17280650,(2، 5، 53، 6521),17280651,(3، 5760217)
573,4159,17297281,17297282,(2، 29، 61، 4889),17297283,(3، 83، 69467)
574,4177,17447329,17447330,(2، 5، 1744733),17447331,(3، 11، 528707)
575,4201,17648401,17648402,(2، 8824201),17648403,(3، 67، 87803)
576,4211,17732521,17732522,(2، 157، 56473),17732523,(3، 5910841)
577,4217,17783089,17783090,(2، 5، 13، 29، 53، 89),17783091,(3، 658633)
578,4219,17799961,17799962,(2، 1753، 5077),17799963,(3، 977، 6073)
579,4229,17884441,17884442,(2، 17، 229، 2297),17884443,(3، 5961481)
580,4231,17901361,17901362,(2، 8950681),17901363,(3، 19، 314059)
581,4241,17986081,17986082,(2، 8993041),17986083,(3، 43، 67، 2081)
582,4243,18003049,18003050,(2، 5، 13، 27697),18003051,(3، 11، 17، 19، 563)
583,4253,18088009,18088010,(2، 5، 1808801),18088011,(3، 41، 49019)
584,4259,18139081,18139082,(2، 13، 61، 11437),18139083,(3، 139، 43499)
585,4261,18156121,18156122,(2، 37، 73، 3361),18156123,(3، 433، 1553)
586,4271,18241441,18241442,(2، 17، 536513),18241443,(3، 11، 59، 347)
587,4273,18258529,18258530,(2، 5، 41، 44533),18258531,(3، 43، 141539)
588,4283,18344089,18344090,(2، 5، 233، 7873),18344091,(3، 6114697)
589,4289,18395521,18395522,(2، 9197761),18395523,(3، 379، 5393)
590,4297,18464209,18464210,(2، 5، 17، 6389),18464211,(3، 691، 2969)
591,4327,18722929,18722930,(2، 5، 89، 109، 193),18722931,(3، 43، 145139)
592,4337,18809569,18809570,(2، 5، 13، 41، 3529),18809571,(3، 11، 51817)
593,4339,18826921,18826922,(2، 17، 553733),18826923,(3، 6275641)
594,4349,18913801,18913802,(2، 9456901),18913803,(3، 6304601)
595,4357,18983449,18983450,(2، 5، 313، 1213),18983451,(3، 19، 41، 8123)
596,4363,19035769,19035770,(2، 5، 13، 181، 809),19035771,(3، 6345257)
597,4373,19123129,19123130,(2، 5، 13، 17، 509),19123131,(3، 883، 7219)
598,4391,19280881,19280882,(2، 29، 401، 829),19280883,(3، 1571، 4091)
599,4397,19333609,19333610,(2، 5، 37، 52253),19333611,(3، 11، 179، 1091)
600,4409,19439281,19439282,(2، 37، 262693),19439283,(3، 443، 14627)
601,4421,19545241,19545242,(2، 137، 71333),19545243,(3، 19، 342899)
602,4423,19562929,19562930,(2، 5، 449، 4357),19562931,(3، 724553)
603,4441,19722481,19722482,(2، 13، 17، 44621),19722483,(3، 11، 73، 2729)
604,4447,19775809,19775810,(2، 5، 1977581),19775811,(3، 11، 17، 35251)
605,4451,19811401,19811402,(2، 13، 761977),19811403,(3، 443، 4969)
606,4457,19864849,19864850,(2، 5، 397297),19864851,(3، 883، 7499)
607,4463,19918369,19918370,(2، 5، 1991837),19918371,(3، 11، 107، 5641)
608,4481,20079361,20079362,(2، 1181، 8501),20079363,(3، 17، 393713)
609,4483,20097289,20097290,(2، 5، 29، 37، 1873),20097291,(3، 6699097)
610,4493,20187049,20187050,(2، 5، 13، 2389),20187051,(3، 6729017)
611,4507,20313049,20313050,(2، 5، 29، 14009),20313051,(3، 11، 59، 10433)
612,4513,20367169,20367170,(2، 5، 617، 3301),20367171,(3، 11، 419، 491)
613,4517,20403289,20403290,(2، 5، 197، 10357),20403291,(3، 1699، 4003)
614,4519,20421361,20421362,(2، 13، 41، 19157),20421363,(3، 6807121)
615,4523,20457529,20457530,(2، 5، 2045753),20457531,(3، 2273059)
616,4547,20675209,20675210,(2، 5، 353، 5857),20675211,(3، 19، 362723)
617,4549,20693401,20693402,(2، 281، 36821),20693403,(3، 17، 211، 641)
618,4561,20802721,20802722,(2، 10401361),20802723,(3، 6934241)
619,4567,20857489,20857490,(2، 5، 797، 2617),20857491,(3، 2317499)
620,4583,21003889,21003890,(2، 5، 41، 51229),21003891,(3، 17، 411841)
621,4591,21077281,21077282,(2، 173، 60917),21077283,(3، 859، 8179)
622,4597,21132409,21132410,(2، 5، 13، 162557),21132411,(3، 17، 414361)
623,4603,21187609,21187610,(2، 5، 17، 124633),21187611,(3، 41، 67، 857)
624,4621,21353641,21353642,(2، 137، 77933),21353643,(3، 619، 3833)
625,4637,21501769,21501770,(2، 5، 17، 126481),21501771,(3، 139، 51563)
626,4639,21520321,21520322,(2، 10760161),21520323,(3، 11، 83، 97)
627,4643,21557449,21557450,(2، 5، 241، 1789),21557451,(3، 67، 107251)
628,4649,21613201,21613202,(2، 13، 277، 3001),21613203,(3، 19، 42131)
629,4651,21631801,21631802,(2، 10815901),21631803,(3، 17، 523، 811)
630,4657,21687649,21687650,(2، 5، 29، 14957),21687651,(3، 83، 29033)
631,4663,21743569,21743570,(2، 5، 149، 14593),21743571,(3، 41، 176777)
632,4673,21836929,21836930,(2، 5، 349، 6257),21836931,(3، 97، 75041)
633,4679,21893041,21893042,(2، 17، 457، 1409),21893043,(3، 7297681)
634,4691,22005481,22005482,(2، 11002741),22005483,(3، 7335161)
635,4703,22118209,22118210,(2، 5، 2211821),22118211,(3، 43، 19051)
636,4721,22287841,22287842,(2، 11143921),22287843,(3، 571، 4337)
637,4723,22306729,22306730,(2، 5، 2230673),22306731,(3، 7435577)
638,4729,22363441,22363442,(2، 1097، 10193),22363443,(3، 2484827)
639,4733,22401289,22401290,(2، 5، 661، 3389),22401291,(3، 11، 17، 73، 547)
640,4751,22572001,22572002,(2، 89، 173، 733),22572003,(3، 347، 21683)
641,4759,22648081,22648082,(2، 11324041),22648083,(3، 1531، 4931)
642,4783,22877089,22877090,(2، 5، 389، 5881),22877091,(3، 2541899)
643,4787,22915369,22915370,(2، 5، 1373، 1669),22915371,(3، 17، 449321)
644,4789,22934521,22934522,(2، 13، 509، 1733),22934523,(3، 43، 177787)
645,4793,22972849,22972850,(2، 5، 53، 8669),22972851,(3، 11، 232049)
646,4799,23030401,23030402,(2، 11515201),23030403,(3، 11، 697891)
647,4801,23049601,23049602,(2، 11524801),23049603,(3، 17، 19، 881)
648,4813,23164969,23164970,(2، 5، 2316497),23164971,(3، 19، 406403)
649,4817,23203489,23203490,(2، 5، 541، 4289),23203491,(3، 7734497)
650,4831,23338561,23338562,(2، 13، 29، 2381),23338563,(3، 7779521)
651,4861,23629321,23629322,(2، 89، 132749),23629323,(3، 59، 133499)
652,4871,23726641,23726642,(2، 11863321),23726643,(3، 67، 118043)
653,4877,23785129,23785130,(2، 5، 2378513),23785131,(3، 19، 417283)
654,4889,23902321,23902322,(2، 29، 412109),23902323,(3، 17، 19، 1451)
655,4903,24039409,24039410,(2، 5، 2403941),24039411,(3، 11، 17، 73، 587)
656,4909,24098281,24098282,(2، 13، 17، 54521),24098283,(3، 11، 41، 1979)
657,4919,24196561,24196562,(2، 13، 930637),24196563,(3، 298723)
658,4931,24314761,24314762,(2، 229، 53089),24314763,(3، 11، 41، 17971)
659,4933,24334489,24334490,(2، 5، 601، 4049),24334491,(3، 59، 137483)
660,4937,24373969,24373970,(2، 5، 73، 173، 193),24373971,(3، 17، 9371)
661,4943,24433249,24433250,(2، 5، 17، 5749),24433251,(3، 409، 19913)
662,4951,24512401,24512402,(2، 17، 42409),24512403,(3، 257، 31793)
663,4957,24571849,24571850,(2، 5، 113، 4349),24571851,(3، 17، 481801)
664,4967,24671089,24671090,(2، 5، 1181، 2089),24671091,(3، 283، 29059)
665,4969,24690961,24690962,(2، 97، 137، 929),24690963,(3، 11، 748211)
666,4973,24730729,24730730,(2، 5، 2473073),24730731,(3، 673، 1361)
667,4987,24870169,24870170,(2، 5، 13، 113، 1693),24870171,(3، 1721، 4817)
668,4993,24930049,24930050,(2، 5، 41، 12161),24930051,(3، 1867، 4451)
669,4999,24990001,24990002,(2، 12495001),24990003,(3، 2776667)
670,5003,25030009,25030010,(2، 5، 2503001),25030011,(3، 19، 439123)
671,5009,25090081,25090082,(2، 12545041),25090083,(3، 227، 12281)
672,5011,25110121,25110122,(2، 17، 41، 18013),25110123,(3، 467، 17923)
673,5021,25210441,25210442,(2، 12605221),25210443,(3، 8403481)
674,5023,25230529,25230530,(2، 5، 13، 421، 461),25230531,(3، 241، 34897)
675,5039,25391521,25391522,(2، 13، 89، 10973),25391523,(3، 17، 497873)
676,5051,25512601,25512602,(2، 409، 31189),25512603,(3، 59، 144139)
677,5059,25593481,25593482,(2، 709، 18049),25593483,(3، 17، 113، 4441)
678,5077,25775929,25775930,(2، 5، 2577593),25775931,(3، 593، 14489)
679,5081,25816561,25816562,(2، 421، 30661),25816563,(3، 131، 811)
680,5087,25877569,25877570,(2، 5، 17، 29، 181),25877571,(3، 281، 30697)
681,5099,25999801,25999802,(2، 193، 349),25999803,(3، 241، 11987)
682,5101,26020201,26020202,(2، 13، 1000777),26020203,(3، 11، 43، 1667)
683,5107,26081449,26081450,(2، 5، 89، 5861),26081451,(3، 11، 17، 15497)
684,5113,26142769,26142770,(2، 5، 17، 61، 2521),26142771,(3، 89، 179، 547)
685,5119,26204161,26204162,(2، 97، 293، 461),26204163,(3، 2153، 4057)
686,5147,26491609,26491610,(2، 5، 17، 155833),26491611,(3، 8830537)
687,5153,26553409,26553410,(2، 5، 13، 157، 1301),26553411,(3، 449، 6571)
688,5167,26697889,26697890,(2، 5، 2669789),26697891,(3، 11، 107، 7561)
689,5171,26739241,26739242,(2، 53، 149، 1693),26739243,(3، 73، 40699)
690,5179,26822041,26822042,(2، 13، 29، 35573),26822043,(3، 67، 14827)
691,5189,26925721,26925722,(2، 17، 791933),26925723,(3، 11، 90659)
692,5197,27008809,27008810,(2، 5، 2700881),27008811,(3، 3000979)
693,5209,27133681,27133682,(2، 157، 86413),27133683,(3، 17، 532033)
694,5227,27321529,27321530,(2، 5، 1637، 1669),27321531,(3، 9107177)
695,5231,27363361,27363362,(2، 13، 1052437),27363363,(3، 19، 480059)
696,5233,27384289,27384290,(2، 5، 401، 6829),27384291,(3، 11، 92203)
697,5237,27426169,27426170,(2، 5، 29، 94573),27426171,(3، 41، 222977)
698,5261,27678121,27678122,(2، 29، 477209),27678123,(3، 11، 279577)
699,5273,27804529,27804530,(2، 5، 13، 213881),27804531,(3، 43، 67، 3217)
700,5279,27867841,27867842,(2، 13933921),27867843,(3، 3096427)
701,5281,27888961,27888962,(2، 13944481),27888963,(3، 9296321)
702,5297,28058209,28058210,(2، 5، 37، 75833),28058211,(3، 17، 61129)
703,5303,28121809,28121810,(2، 5، 2812181),28121811,(3، 83، 112939)
704,5309,28185481,28185482,(2، 13، 83389),28185483,(3، 9395161)
705,5323,28334329,28334330,(2، 5، 53، 193، 277),28334331,(3، 3148259)
706,5333,28440889,28440890,(2، 5، 197، 14437),28440891,(3، 19، 59، 2819)
707,5347,28590409,28590410,(2، 5، 1213، 2357),28590411,(3، 9530137)
708,5351,28633201,28633202,(2، 13، 17، 64781),28633203,(3، 419، 2531)
709,5381,28955161,28955162,(2، 257، 56333),28955163,(3، 107، 90203)
710,5387,29019769,29019770,(2، 5، 13، 223229),29019771,(3، 11، 293129)
711,5393,29084449,29084450,(2، 5، 17، 34217),29084451,(3، 11، 211، 4177)
712,5399,29149201,29149202,(2، 14574601),29149203,(3، 17، 131، 4363)
713,5407,29235649,29235650,(2، 5، 584713),29235651,(3، 67، 145451)
714,5413,29300569,29300570,(2، 5، 13، 257، 877),29300571,(3، 17، 191507)
715,5417,29343889,29343890,(2، 5، 109، 26921),29343891,(3، 9781297)
716,5419,29365561,29365562,(2، 17، 863693),29365563,(3، 9788521)
717,5431,29495761,29495762,(2، 14747881),29495763,(3، 11، 251، 1187)
718,5437,29560969,29560970,(2، 5، 2956097),29560971,(3، 11، 895787)
719,5441,29604481,29604482,(2، 14802241),29604483,(3، 3289387)
720,5443,29626249,29626250,(2، 5، 137، 173),29626251,(3، 9875417)
721,5449,29691601,29691602,(2، 181، 82021),29691603,(3، 97، 3779)
722,5471,29931841,29931842,(2، 14965921),29931843,(3، 139، 179، 401)
723,5477,29997529,29997530,(2، 5، 1129، 2657),29997531,(3، 43، 77513)
724,5479,30019441,30019442,(2، 61، 241، 1021),30019443,(3، 10006481)
725,5483,30063289,30063290,(2، 5، 109، 27581),30063291,(3، 41، 233، 1049)
726,5501,30261001,30261002,(2، 61، 248041),30261003,(3، 17، 593353)
727,5503,30283009,30283010,(2، 5، 41، 233، 317),30283011,(3، 11، 101963)
728,5507,30327049,30327050,(2، 5، 13، 37، 97),30327051,(3، 10109017)
729,5519,30459361,30459362,(2، 37، 411613),30459363,(3، 11، 739، 1249)
730,5521,30481441,30481442,(2، 17، 73، 12281),30481443,(3، 457، 7411)
731,5527,30547729,30547730,(2، 5، 29، 105337),30547731,(3، 10182577)
732,5531,30591961,30591962,(2، 15295981),30591963,(3، 43، 137، 577)
733,5557,30880249,30880250,(2، 5، 149، 829),30880251,(3، 571، 2003)
734,5563,30946969,30946970,(2، 5، 17، 182041),30946971,(3، 11، 43، 113، 193)
735,5569,31013761,31013762,(2، 13، 1192837),31013763,(3، 11، 17، 59، 937)
736,5573,31058329,31058330,(2، 5، 89، 34897),31058331,(3، 19، 544883)
