model,R,rho1,rho2,runs,kernel_rmse_vs_theory,normalized_Delta_shape_RMSE
observed,0.38033238210341364,-0.12369109862039233,-0.08177720152201445,256.0,,
short_interval_theory,,-0.1087526454813533,-0.0443832998992698,,0.0,
raw_random_sieve_quota,0.30680990797028007,-0.10896241818886648,-0.027121840890096678,242.25,0.010545134023810463,0.09376034436254142
old_independent_thinning,0.4105398871539494,-0.0807540199384425,-0.0270409976008552,237.076,,0.0466352629315713
physical_local_multiscale,0.3831043821979069,-0.1166810101359445,-0.0337542088992268,242.92708333333331,0.008133062471414418,0.0689031519811222
normalized_u_local_multiscale,0.38393103467840056,-0.10338100834014996,-0.03027207011184439,242.61607142857142,0.008749332720237028,0.07811730159220873
interval_pair_kernel_bridge,0.3809716653684944,-0.1072867877325238,-0.0375441566364382,241.04275,0.004289958235160897,0.0370217634069607
