mode,nnls_residual,kernel_rmse,shape_rmse,rho1_fit,rho1_target,nonzero_scales
uniform,0.0,1.0505931359141929e-16,9.539603856145478e-16,-0.1129581668256267,-0.11295816682562704,21
sqrtH,0.0,4.740709178292352e-17,4.4302541759192918e-16,-0.1129581668256271,-0.11295816682562704,21
count_over_shortvar,0.0,4.039569103081037e-17,3.7193701145880155e-16,-0.11295816682562702,-0.11295816682562704,21
