metric,value
simulations,672.0
amplitude_calibrated_from_train_R,0.003833164231101361
R_observed,0.38033238210341364
R_mc_mean,0.3831043821979069
R_mc_sd,0.024881522591684788
R_p,0.9182763744427934
rho1_observed,-0.12369109862039233
rho1_theory,-0.10875264548135335
rho1_mc_mean,-0.11668101013594458
rho2_theory,-0.0443832998992698
rho2_mc_mean,-0.03375420889922685
delta_amplitude,0.15931055613155717
normalized_Delta_shape_RMSE,0.06890315198112222
kernel_z_rmse_vs_theory,0.1775435378290482
runs_observed,256.0
runs_mc_mean,242.92708333333334
runs_mc_sd,10.820264911823864
runs_p,0.24814264487369986
monotone_triples_observed,145.0
monotone_triples_mc_mean,143.0342261904762
monotone_triples_mc_sd,8.994468642801936
monotone_triples_p,0.8826151560178306
clip_fraction,0.0
mean_bias_z_rms,0.10038611977304067
