sign_pattern,observed_count,pair_gaussian_mean,pair_gaussian_sd,two_sided_p
000,38,46.64286,7.968027410194834,0.2902341953160937
001,61,57.55768,4.329273365099205,0.4905101897962041
010,71,62.11544,7.067202594623298,0.22739545209095818
011,56,57.61222,4.320243044274156,0.7261454770904582
100,60,57.5568,4.331889779920688,0.6458670826583468
101,67,62.1708,7.0902209263644025,0.5239895202095958
110,56,57.61322,4.3162476564113685,0.7261254774904502
111,39,46.73098,7.963667285838403,0.3458530829383412
