base_q,block_size_g,simulations,R_observed,R_mc_mean,R_mc_sd,R_error_z,runs_observed,runs_mc_mean,runs_mc_sd,rho1_mc_mean,rho2_mc_mean,rho5_mc_mean,delta_amplitude,delta_fit_rmse,delta_normalized_shape_rmse,kernel_z_rmse_vs_theory,joint_score_R_kernel
7,1,2000,0.38033238210341364,0.4105398871539494,0.029389675600647213,1.0278271002715846,256.0,237.076,10.29087824665824,-0.08075401993844256,-0.02704099760085523,-0.0046900413876830235,0.11352769810361994,0.0037283428496799613,0.04663526293157136,0.19418640562382358,1.0460099943030154
7,2,2000,0.38033238210341364,0.40177912168307073,0.028356312082429194,0.7563303548540936,256.0,237.0405,10.417251043804926,-0.0812679521895163,-0.028352616991675288,-0.005988008759185795,0.11526355510036379,0.003545723493460855,0.04384650394100036,0.1878807488595729,0.7793168684596484
7,4,2000,0.38033238210341364,0.38346106917199574,0.02661955096021018,0.11753342771479268,256.0,237.837,10.2321933078859,-0.08644159910263534,-0.029747927031899612,-0.006702450833975318,0.12204654457124733,0.0036354409866565054,0.04241437162980747,0.1646220288105319,0.20227337689395505
7,8,2000,0.38033238210341364,0.3464126841330527,0.025135974754761977,-1.3494482828415033,256.0,239.013,10.165997479459465,-0.09558220915184525,-0.03191725414035364,-0.006881029232418578,0.1340512479388544,0.004153500651414292,0.04404385768124296,0.1319808168874942,1.355887017450264
7,16,2000,0.38033238210341364,0.32498056381681445,0.023587758386657415,-2.3466332569316695,256.0,239.9845,9.967042225021306,-0.1013409031584428,-0.034186721635777545,-0.006070877819177656,0.14214364019507442,0.00454560713086158,0.04542113149111096,0.11799927017112834,2.34959815081189
7,32,2000,0.38033238210341364,0.31621357657287247,0.02300510617862008,-2.787155383361383,256.0,240.7835,9.995177814314754,-0.1040077700724727,-0.0354123694005544,-0.006370557229705102,0.14586876533513987,0.004651919867038063,0.04529898155681184,0.1124526924434946,2.7894230118499648
7,64,2000,0.38033238210341364,0.31219579798796177,0.02266214382436141,-3.006625703354959,256.0,240.797,9.604004865405232,-0.1050453935939201,-0.03592750166694677,-0.006592490110852921,0.14737361846428323,0.004658842921272495,0.04491448220885852,0.10968045718049878,3.0086255870018164
7,128,2000,0.38033238210341364,0.31036311644947717,0.022628185835809608,-3.092128823832114,256.0,240.758,9.552437413051454,-0.10606097580116049,-0.03578679840441606,-0.006545208459926835,0.1485197298055788,0.004694340565316051,0.044902237929113124,0.10913157651321838,3.0940540338147993
7,256,2000,0.38033238210341364,0.3094579795562173,0.022573899219938336,-3.139661511583108,256.0,240.8115,9.494684948492791,-0.10632054944650593,-0.035876579723134426,-0.006665133659083139,0.14889809697771703,0.004761592035547855,0.04541515415652014,0.10986623201889405,3.1415831990024325
7,512,2000,0.38033238210341364,0.30896270710821516,0.02257888118576302,-3.1609039618933905,256.0,240.8455,9.288851981572739,-0.10660195787328446,-0.03595884472557278,-0.006709141455395262,0.14925523447280128,0.00475564304370455,0.04525389979035058,0.10941910815207215,3.162797242559524
7,1024,2000,0.38033238210341364,0.30872073750238477,0.02257163987706792,-3.172638097676902,256.0,240.9515,9.302602698088275,-0.10673625899290967,-0.03600151096139823,-0.0066986965534840855,0.1493991833863085,0.004746797513922849,0.045129352265207485,0.10900561597576572,3.174510154834155
7,4096,2000,0.38033238210341364,0.3085700687736046,0.022560203692482038,-3.1809248847218123,256.0,240.8755,9.19778774487104,-0.10677318799107392,-0.03602223346214865,-0.0066613541123480636,0.14947979120741722,0.004753415033910135,0.04516708444231123,0.10903580432677387,3.1827931018003137
7,32768,2000,0.38033238210341364,0.30853740946867175,0.022558610534293547,-3.1825972847751123,256.0,240.886,9.186903918176183,-0.10679206445839279,-0.036002941992342934,-0.006674089819638235,0.14949015103795052,0.004761892533417431,0.04524210778537073,0.10916604987099993,3.184468982970686
