h,empirical,theory
738,0.9993831869336451,0.9998855846278977
2018,1.0013181737547103,1.00087851966725
2026,1.0000771647359683,1.0008745911408827
2038,1.0037185948349643,1.0008687562941985
2042,0.9990126203309467,1.0008668266147749
2062,1.0000999780627307,1.0008572907354079
2066,1.0003976565177572,1.0008554057575076
2078,1.0023568348192777,1.0008497944491397
2098,1.0013126513602644,1.0008405851862814
2102,1.002695091026787,1.00083876440352
2122,1.0016782145538963,1.0008297636502093
2126,1.0007222885083213,1.0008279838594036
2138,1.0011409826658775,1.0008226845197703
2174,1.0016256236703259,1.0008071381621169
2182,1.0025359157410099,1.0008037532088232
2186,1.0003808599109303,1.0008020700400222
2194,1.0004409426837753,1.0007987221481058
2206,1.001089352801069,1.0007937459218375
2218,1.0010067129777036,1.0007888236384017
2234,0.9993187307982455,1.0007823429997613
2246,1.0020850725154047,1.00077754322257
2258,1.0007246820511466,1.000772794552146
2272,0.9999719646459949,0.9998855846278977
2302,1.0000721867215006,1.0007558070688272
2306,1.0005611256165279,1.000754294953378
2326,0.999669221735983,1.0007468125216339
2342,1.001643392663604,1.0007409187464844
2362,0.9995481447596232,1.0007336640041724
2374,1.0013205745583265,1.0007293699313813
2386,1.0018560224554223,1.000725119123807
2402,0.998096720494126,1.000719517559197
2426,1.000921414022773,1.0007112539793657
2434,0.9993192803581766,1.000708535726357
2446,1.0025887384025765,1.000704491740615
2458,1.000072281890864,1.000700487304856
2462,1.001429527729936,1.0006991611817038
2474,0.9997720606299338,1.000695208583062
2498,1.0014470338754753,1.0006874174944798
2518,1.0012263370670529,1.0006810385536158
2554,1.00136552710954,1.000669808615841
2558,1.0020728643546617,1.000668580387199
2566,1.0005339677541834,1.0006661354355697
2578,1.0003305690801727,1.0006624965040654
2582,1.0017780370085894,1.000661291055072
2594,1.0025980427924834,1.0006576970484597
2602,1.001435183499009,1.000655319489043
2606,1.0007838804468023,1.000654136191793
2614,1.0013373164075876,1.0006517804781874
2638,0.9992854600039699,1.0006447991948133
2642,1.0040701002213965,1.0006436479975929
2654,1.0015355004010202,1.0006402152578056
2722,1.002372590476896,1.0006213356099638
2734,1.0013779133533867,1.000618101539713
2746,1.00166953870615,1.000614895776423
2762,1.0027918823937512,1.000610664819796
2798,1.001736876185185,1.0006013223405876
2818,1.0018320270733307,1.000596235363241
2846,1.0030338171972144,1.0005892338781637
2854,1.0023945150025397,1.0005872587223734
2858,0.9993760389963433,1.000586275296873
2866,1.0002154560663858,1.0005843166926272
2878,1.0030901450879466,1.000581399230979
2894,1.001064369003119,1.0005775469702007
2902,1.0027394728131447,1.000575636791202
2906,1.0012507407127147,1.0005746856510733
2918,1.001482901358207,1.000571847898061
2942,1.002239358616263,1.0005662419353367
2962,1.002051620924688,1.000561639789918
2966,0.9989546895317594,1.0005607268187335
2974,1.0008441322740305,1.0005589082539097
2978,1.0017672431235392,1.0005580026404248
2986,1.0024177992841006,1.0005561987020948
2998,0.9997332004824907,1.0005535108701342
3022,1.00172777644298,1.0005481993294403
3046,1.0022527804555597,1.0005429716000396
3062,1.0013556601649483,1.0005395320344563
3082,1.0021179730097673,0.9998855846278977
3086,1.0001587013904922,1.000534439647124
3098,1.000106675267488,1.0005319230794993
3106,1.0017221935452703,1.0005302561847178
3118,1.0010507095296048,1.0005277719012617
3134,0.9996553076711939,1.0005244891548164
3142,1.0001445150977248,1.0005228603351175
3470,1.0008678124725885,0.9998855846278977
3728,1.0025422318021735,0.9998855846278977
4382,1.0007271748113888,0.9998855846278977
5832,1.0004096000844953,0.9998855846278977
6382,0.9987726240247967,1.000199126673877
6794,0.9999237587783002,0.9998855846278977
7636,1.0018379722319053,0.9998855846278977
7920,1.0007932463374463,0.9998855846278977
7926,1.000482311022449,1.0006436479975929
8596,0.9993484876427178,0.9998855846278977
8766,0.9995227830776464,0.9998855846278977
8926,1.0008702402029224,1.0001097239654069
9006,1.0014609832785364,0.9998855846278977
9058,1.0004635139509868,0.9998855846278977
9214,1.0008881196575545,0.9998855846278977
9418,1.0016487208860407,0.9998855846278977
9640,1.000486511924995,0.9998855846278977
9724,0.9999382619081914,0.9998855846278977
10616,1.0029694438140682,1.0006402152578056
11454,0.9990376740462743,0.9998855846278977
11802,0.9997299926441633,0.9998855846278977
12630,1.0001291573411408,0.9998855846278977
12812,1.001986220322715,1.0001979512585217
12994,1.0010833449247212,0.9998855846278977
13976,1.0014518522827685,1.0004585849629282
13980,1.0003488231710682,0.9998855846278977
15232,1.0013357320537086,0.9998855846278977
15430,1.0013426840182085,1.000534439647124
16070,0.9997131953829408,1.000508566300563
16128,1.0011492249422584,0.9998855846278977
16524,1.0006444921428457,0.9998855846278977
16622,1.0013809016335227,0.9998855846278977
16698,1.0013162678498846,0.9998855846278977
18256,1.000662737009693,0.9998855846278977
18948,1.0007157514553553,1.0005196274843515
19464,1.0012951206739076,0.9998855846278977
19992,0.9994280123341586,0.9998855846278977
20148,1.000526402393443,0.9998855846278977
21460,1.0012463388703452,0.9998855846278977
22692,1.0004155478007761,0.9998855846278977
22724,0.9995056481250958,0.9998855846278977
23394,1.000155065896218,0.9998855846278977
23878,0.9998269435467436,0.9998855846278977
23956,1.001672908709326,0.9998855846278977
24550,1.0005490740254184,0.9998855846278977
26116,0.9998668888398435,1.0000387768424874
26354,1.0008515569438043,0.9998855846278977
26588,1.0009194631547174,0.9998855846278977
27226,1.0014134683697535,0.9998855846278977
27656,1.0004991528422813,1.0001749871125947
27676,0.9998669172515657,0.9998855846278977
27714,1.0013440989618496,0.9998855846278977
28140,1.0005027680044087,0.9998855846278977
28834,1.0017661895866232,1.0007888236384017
29360,0.9997034170812275,0.9998855846278977
30152,1.0016085125114753,1.0001510174881652
30396,1.0009696186563253,0.9998855846278977
31238,1.0006178888017672,0.9998855846278977
32122,0.9992143738070053,0.9998855846278977
32584,1.0011055157107696,1.0001311964148365
33020,0.999708037371578,0.9998855846278977
33430,1.0003667163459702,1.0001848619654097
33896,1.0002937692131728,0.9998855846278977
