panel_id,target_X,target_H,target_X_over_H,alpha_theory_log_ratio,alpha_best_scalar,alpha_relative_error,rho1_pred,rho1_target,kernel_rmse_theory_alpha,shape_rmse_theory_alpha,kernel_rmse_best_alpha
X2e+07_off-128,11672569.0,44544.0,262.04581986350576,0.9514768668694633,0.29717211188038134,-0.6876727934982454,0.029773633661463256,-0.11819768921971856,0.03342855143255469,0.8010040895624589,0.0301623585489947
X2e+07_off+0,20043595.0,56412.0,355.307292774587,0.9021509752095002,0.2558732117449751,-0.7163742890312174,0.02896332542235133,-0.11295816682562704,0.031963196413093156,0.7487004822218308,0.028921652897139348
X2e+07_off+128,31069495.0,70020.0,443.72315052842043,0.869260507015435,0.5242367343554668,-0.3969164247948996,0.01057649534100553,-0.10979230136494036,0.02734254987305759,1.8371948441270025,0.026370302412035567
X2e+08_off-128,166564855.0,161556.0,1031.0038314887718,0.7636346622677781,1.0159940636883251,0.3304713810018933,-0.0347768678310482,-0.09792791729484634,0.014437364739395428,0.2820519728776548,0.013400168112904804
X2e+08_off+0,199812637.0,219264.0,911.2879314433742,0.7774654527602792,-0.12751803525384153,-1.1640176226494787,0.059671276597462825,-0.09507032929115544,0.0348900466784256,0.4113891398481249,0.024534385195396684
X2e+08_off+128,235162291.0,237840.0,988.7415531449714,0.7682692465689865,0.21662184769081172,-0.7180391527342489,0.025101218173869608,-0.09591634428065386,0.027399175069816227,0.7855904105263484,0.024393886621422525
X2e+09_off-128,1876882351.0,701952.0,2673.80440685403,0.6714160947807116,0.012691156739694849,-0.9810979259532945,0.03632861306777064,-0.0831657964446913,0.027031489226217297,0.5269238157856337,0.0216417358284467
X2e+09_off+0,2000549371.0,720192.0,2777.800046376522,0.6681851904320866,-0.006685129067285758,-1.0100049045728816,0.037517158847142976,-0.08269212297123059,0.02721360219771117,0.510438709098316,0.021463252447983472
X2e+09_off+128,2132500063.0,827364.0,2577.4629582626267,0.6745529726452885,-0.058729928816429314,-1.0870649618311181,0.044365656745998246,-0.08221258956743596,0.028582692534139826,0.45655923626075984,0.02135133117102954
X2e+10_off-128,19585442827.0,2790480.0,7018.664468836902,0.598252145535299,-0.08210762354273919,-1.137245848854034,0.04527262283596792,-0.07267122005185715,0.02662670589939648,0.4231734155148531,0.018804125385751012
X2e+10_off+0,19998768067.0,2824320.0,7080.914367706209,0.5976562596532264,-0.1670302014550895,-1.2794753652408897,0.05795312282430871,-0.07182085368413023,0.029162964740683375,0.34689028644995595,0.018027374746900783
X2e+10_off+128,20434702573.0,2857380.0,7151.552321707299,0.5969878072910862,-0.15160517690808878,-1.2539502064472948,0.05870469896914866,-0.07287920692067598,0.0296709550455611,0.3562122769146795,0.018354819661599773
X2e+11_off-128,198311683813.0,8907600.0,22263.200392137052,0.529265930853661,0.0852711657478663,-0.8388878618914103,0.02106924433764604,-0.06479155639566465,0.019369428123371477,0.6327264432294166,0.016767285903992582
X2e+11_off+0,199995889735.0,10725120.0,18647.426763989588,0.5388048065306724,-0.1238359078079264,-1.2298344526755383,0.04362077780832449,-0.0645992545587976,0.02430302619029527,0.37973524540803727,0.01649031498702845
X2e+11_off+128,201604592035.0,8965740.0,22486.10734139067,0.5287397333388875,-0.12454222336676567,-1.2355454215258348,0.046558699635917265,-0.06519980135338169,0.02520224579654004,0.3740470629606154,0.016489575825946685
X2e+12_off-128,1994815852135.0,28256700.0,70596.20734675316,0.4745584137703496,0.014170551490874612,-0.9701395000495512,0.024181093917443358,-0.05792783428454215,0.01850871238261516,0.5323144192990292,0.015057267293157116
X2e+12_off+0,2000011137493.0,33950952.0,58908.83818200444,0.4823779762944448,-0.039506013055963,-1.0818984592941874,0.02837913683534117,-0.05883630982897275,0.019604670918653217,0.46359795916941804,0.015287795460855447
X2e+12_off+128,2005625272423.0,33993480.0,59000.292774467336,0.4823098579939344,-0.09366312877571692,-1.1941970026598436,0.040436228370930916,-0.05891310500066519,0.02245242980508034,0.3933107219048271,0.015047811292075714
