المكون_الأولي,عدد_مرات_التكرار,النسبة_من_1000
15907,1,0.001
15923,1,0.001
16033,1,0.001
16073,1,0.001
16249,1,0.001
16273,1,0.001
16883,1,0.001
17569,1,0.001
17851,1,0.001
17923,1,0.001
17971,1,0.001
17977,1,0.001
18097,1,0.001
18353,1,0.001
18587,1,0.001
19051,1,0.001
19211,1,0.001
19379,1,0.001
19387,1,0.001
19507,1,0.001
19913,1,0.001
19961,1,0.001
20411,1,0.001
20563,1,0.001
20899,1,0.001
21001,1,0.001
21139,1,0.001
21401,1,0.001
21683,1,0.001
21859,1,0.001
22073,1,0.001
22153,1,0.001
22697,1,0.001
22859,1,0.001
23027,1,0.001
23057,1,0.001
23473,1,0.001
23531,1,0.001
23627,1,0.001
23819,1,0.001
23833,1,0.001
23971,1,0.001
23977,1,0.001
24049,1,0.001
24121,1,0.001
24371,1,0.001
24481,1,0.001
24683,1,0.001
24691,1,0.001
25033,1,0.001
25577,1,0.001
25913,1,0.001
25931,1,0.001
26321,1,0.001
26371,1,0.001
27329,1,0.001
27689,1,0.001
28019,1,0.001
28081,1,0.001
28571,1,0.001
29033,1,0.001
29059,1,0.001
30697,1,0.001
30763,1,0.001
30851,1,0.001
31177,1,0.001
31481,1,0.001
31793,1,0.001
32003,1,0.001
32083,1,0.001
32363,1,0.001
32707,1,0.001
33569,1,0.001
34259,1,0.001
34897,1,0.001
35251,1,0.001
35353,1,0.001
36467,1,0.001
37337,1,0.001
38177,1,0.001
38609,1,0.001
40531,1,0.001
40699,1,0.001
40897,1,0.001
40939,1,0.001
41641,1,0.001
41897,1,0.001
42131,1,0.001
42299,1,0.001
42961,1,0.001
43499,1,0.001
43963,1,0.001
44281,1,0.001
44507,1,0.001
44587,1,0.001
44851,1,0.001
45481,1,0.001
45523,1,0.001
46099,1,0.001
46273,1,0.001
47057,1,0.001
47881,1,0.001
49019,1,0.001
49531,1,0.001
50441,1,0.001
50513,1,0.001
51563,1,0.001
51577,1,0.001
51817,1,0.001
52081,1,0.001
53299,1,0.001
53899,1,0.001
56131,1,0.001
56923,1,0.001
57881,1,0.001
59009,1,0.001
59699,1,0.001
60521,1,0.001
61129,1,0.001
61339,1,0.001
61729,1,0.001
62497,1,0.001
63443,1,0.001
