sign_pattern,observed_count,pairkernel_mean_count,pairkernel_sd,two_sided_p
000,38,46.69675,7.927136892493285,0.29042739315171207
001,61,56.835,4.583233193568341,0.37715571107223195
010,71,62.019,6.968412925098058,0.22669332666833292
011,56,57.67575,4.3060710049156,0.7278180454886278
100,60,56.92925,4.548287168434029,0.503874031492127
101,67,62.89975,7.194556299563365,0.588352911772057
110,56,57.7735,4.234168134940881,0.7238190452386903
111,39,47.171,8.732171648875575,0.3684078980254936
