model,reference_panel,held_out_targets,mean_kernel_rmse,max_kernel_rmse,mean_shape_rmse,max_shape_rmse,mean_abs_alpha_relative_error,max_abs_alpha_relative_error,improvement_factor_vs_old_mean
uniform,X2e+07_off+0,17,0.00048789037026494944,0.0008011141701119607,0.0025207840901546137,0.003362287894094069,0.022382263736974852,0.042514585246779396,53.19840452555613
sqrtH,X2e+07_off+0,17,0.0003486899618415127,0.000772461547246822,0.0034713579676460054,0.006196117370531488,0.009796937269321845,0.02814818059560895,74.4357226242012
count_over_shortvar,X2e+07_off+0,17,0.00048961586209025,0.0011332085526404255,0.004193146386189457,0.007111774728686025,0.016777379704504044,0.042099588680280256,53.010924055180844
old_physical_median_H_transfer,previous experiment,18,0.02595498928147814,0.0348900466784256,,,,,1.0
