delta,samples_log_weighted,variance_prediction_Vdelta,empirical_mean_z_avg,empirical_variance_z_avg,empirical_skewness_avg,empirical_kurtosis_avg,empirical_runs4_mean,gaussian_theory_runs4_mean,runs4_difference,corr_matrix_rmse_leading,corr_matrix_rmse_secondary
0.001,8000,0.005492662547671259,-0.005382000214252794,1.072361818119593,0.03414886976666187,3.0251894668443193,2.631,2.6202325,0.010767499999999597,0.02671644105582479,0.010093838246251216
0.002,8000,0.009599030734222627,-0.008840148599295885,1.0543712110871208,-0.0216747431744043,2.831681811412519,2.668,2.641285,0.026715000000000266,0.03861602729503134,0.018360498821349457
0.004,8000,0.016425472746205472,-0.013843330698658278,1.0208492280161892,-0.031805736803395504,2.8065497845533085,2.71175,2.662405,0.04934499999999975,0.05509713898243215,0.04220435522937766
0.008,8000,0.02730576804793139,-0.013104989977062874,0.9823888013006281,-0.07713261871136187,3.117553308083973,2.703,2.6934675,0.009532499999999722,0.03013299845315475,0.06300262424356366
