wheel_through_prime,wheel_primes,inclusion_exclusion_products,total_surviving_candidates,candidate_fraction_of_all_positions,min_conditional_prime_probability,max_conditional_prime_probability,dispersion_D_over_df,fraction_initial_dispersion_deficit_explained,lag1_autocorrelation,runs_count,mc_p_underdispersion,mc_p_lag1_two_sided,mc_p_runs_two_sided,mc_mean_D_over_df,mc_sd_D_over_df
0,,1,62832864,1.0,0.05568590742759829,0.12260973398958032,0.25767534121463864,0.0,-0.1368504154611587,535,0.0001999600079984003,0.0001999600079984003,0.007798440311937612,1.0005962074164156,0.04482698030550448
2,2,2,31415940,0.4999921697027848,0.11137269341738877,0.24624980187823275,0.2763087115183914,0.025101375905041176,-0.13724129943537922,535,0.0001999600079984003,0.0001999600079984003,0.005398920215956809,0.999900918354968,0.04596395307452043
3,2 3,4,20943632,0.3333228929370464,0.16706035799016336,0.3709332458672114,0.29796414438674845,0.05427383112671066,-0.13773746472664342,535,0.0001999600079984003,0.0001999600079984003,0.007398520295940812,1.0007877988898628,0.045828275354971304
5,2 3 5,8,16754709,0.26665518541379873,0.20882544748770418,0.4651385146588841,0.3166936891647239,0.07950476553837618,-0.1382099814263398,535,0.0001999600079984003,0.0001999600079984003,0.006998600279944011,1.0003633310762723,0.04488158910868552
7,2 3 5 7,16,14361039,0.2285593570905824,0.24362848755390346,0.5426616004353648,0.3343197623995745,0.1032491919510613,-0.13869401959882438,535,0.0001999600079984003,0.0001999600079984003,0.006998600279944011,1.0008286421939006,0.045187934767384044
11,2 3 5 7 11,32,13055400,0.20777980134726948,0.2679904114070974,0.598035233132851,0.3479749294755649,0.12164433336847542,-0.13909648291461707,535,0.0001999600079984003,0.0001999600079984003,0.009798040391921616,1.0009138662755888,0.045164795725499154
13,2 3 5 7 11 13,64,12051062,0.19179552280157083,0.29033213074254965,0.6659937823524932,0.3617097254779598,0.14014674446292655,-0.13954070587671305,535,0.0001999600079984003,0.0001999600079984003,0.0061987602479504095,1.0010483062839481,0.045083902880502916
17,2 3 5 7 11 13 17,128,11342120,0.1805125419716663,0.3084881976521589,0.6814820098490627,0.37360796616330855,0.15617509613430627,-0.1399079614175652,535,0.0001999600079984003,0.0001999600079984003,0.0057988402319536095,0.9994486694470194,0.04534866622122712
19,2 3 5 7 11 13 17 19,256,10745116,0.17101108108011756,0.32565297434469614,0.7162853279818238,0.3858385010632014,0.17265108781145896,-0.140330047080476,535,0.0001999600079984003,0.0001999600079984003,0.0065986802639472104,0.9992855959345349,0.04525772922077954
23,2 3 5 7 11 13 17 19 23,509,10277897,0.16357517938383329,0.34044117779941757,0.7651229639805844,0.3971937822910285,0.1879480082268569,-0.140765304009107,535,0.0001999600079984003,0.0001999600079984003,0.0057988402319536095,1.0012350626906132,0.04507321969168288
29,2 3 5 7 11 13 17 19 23 29,983,9923454,0.15793413459555178,0.3526041649064944,0.8015573908368028,0.4071792641412747,0.20139964523240256,-0.14117896193027027,535,0.0001999600079984003,0.0001999600079984003,0.008998200359928014,1.0008764996985144,0.045442574671173484
31,2 3 5 7 11 13 17 19 23 29 31,1797,9603318,0.15283909388564557,0.3643495312271728,0.8416352603786429,0.41765647160282765,0.2155136953822338,-0.1416462801376827,535,0.0001999600079984003,0.0001999600079984003,0.008998200359928014,1.0002526069023212,0.045321953295936586
37,2 3 5 7 11 13 17 19 23 29 31 37,3070,9343759,0.14870815056273737,0.3743938220166784,0.8859318530301504,0.427769741534963,0.22913747820076946,-0.1421842891965133,535,0.0001999600079984003,0.0001999600079984003,0.006798640271945611,1.0002278915008724,0.04544898240336207
41,2 3 5 7 11 13 17 19 23 29 31 37 41,4918,9115863,0.14508113142829204,0.38359218519136207,0.9098759571661004,0.43764622136351317,0.24244227646075275,-0.1427119463586736,535,0.0001999600079984003,0.0001999600079984003,0.0061987602479504095,1.000852318033875,0.046407151189131905
43,2 3 5 7 11 13 17 19 23 29 31 37 41 43,7469,8903869,0.14170719641237425,0.3926763938452509,0.9098759571661004,0.447304953615775,0.2554537427214399,-0.14371187422870468,535,0.0001999600079984003,0.0001999600079984003,0.009398120375924815,1.0008759631748545,0.045922933764002534
47,2 3 5 7 11 13 17 19 23 29 31 37 41 43 47,10803,8714405,0.13869183171405333,0.4010527748268432,0.9618688690041632,0.4628661580463186,0.2764165441673811,-0.14424531874328328,535,0.0001999600079984003,0.0001999600079984003,0.007598480303939212,0.9991828006767294,0.044608803037893587
53,2 3 5 7 11 13 17 19 23 29 31 37 41 43 47 53,14952,8549926,0.13607410924321386,0.40868478400201175,0.9901591298572269,0.5033632870787872,0.33097101511642996,-0.14161781711285196,535,0.0001999600079984003,0.0001999600079984003,0.009398120375924815,1.000733719803592,0.04435795094100652
