sign_pattern,observed_count,mc_mean,mc_sd,two_sided_p
000,38,47.385416666666664,8.563706828228126,0.2986627043090639
001,61,57.211309523809526,4.470135050924169,0.4309063893016345
010,71,63.836309523809526,7.252728973789211,0.33580980683506684
011,56,56.88095238095238,4.500120248513616,0.9167904903417533
100,60,57.09672619047619,4.41996432635243,0.5601783060921248
101,67,63.541666666666664,7.845075280707015,0.7280832095096582
110,56,56.854166666666664,4.508926125340208,0.9019316493313522
111,39,45.19345238095238,7.406330235453751,0.43536404160475484
