base_wheel_q0,tail_cutoff_Q,simulations,R_observed,R_mc_mean,R_error_z,lag1_observed,lag1_mc_mean,lag1_error_z,runs_observed,runs_mc_mean,runs_error_z,balance_score_R_lag1
29,29,400,0.4478701299490362,0.998965157391742,8.357343575071058,-0.1236605920348701,-0.0002876603421444,2.74304491316252,256,225.895,-2.903073412418548,8.795992668676359
29,47,400,0.4478701299490362,0.9289329513652844,7.39893375994102,-0.1236605920348701,-0.0009357212165719,2.726440922594844,256,225.5175,-2.8574654879208854,7.885283817872048
29,71,400,0.4478701299490362,0.8706601481554253,7.777889128137012,-0.1236605920348701,-0.0011758245003863,2.665214253075592,256,225.73,-2.849020853612596,8.221856621493057
29,97,400,0.4478701299490362,0.8351959478618778,6.761197055048762,-0.1236605920348701,-0.0081193068193746,2.519727482623424,256,226.6725,-2.633312111433766,7.215456479245636
29,127,400,0.4478701299490362,0.8002969950189983,6.768272267002643,-0.1236605920348701,-0.0072552691370848,2.478290983434168,256,226.505,-2.726726393943732,7.207734434539621
29,173,400,0.4478701299490362,0.759190746869777,6.042414659359522,-0.1236605920348701,-0.0112871921593128,2.5171394706770767,256,227.585,-2.8384032768770737,6.545744115872795
29,251,400,0.4478701299490362,0.7130719913933978,5.287911491047817,-0.1236605920348701,-0.0162380803860852,2.3234607904300604,256,227.255,-2.81874742091302,5.775853009021389
29,397,400,0.4478701299490362,0.6728540936655388,4.863607642133708,-0.1236605920348701,-0.0275463229119179,2.041947570844546,256,229.0025,-2.5685861906245893,5.2748676930041904
29,499,400,0.4478701299490362,0.648239771165439,4.684907369146714,-0.1236605920348701,-0.0236404709342047,2.0994384544291025,256,228.7375,-2.6354283939275063,5.133809392782405
29,631,400,0.4478701299490362,0.6242258390885258,4.274259361193987,-0.1236605920348701,-0.028448966615513,2.102126947688084,256,229.87,-2.465270312363455,4.763216433351612
29,797,400,0.4478701299490362,0.6079663549348129,3.7415968874219416,-0.1236605920348701,-0.0269968486170295,2.007636321500676,256,228.885,-2.5631389234400648,4.246192514167761
29,997,400,0.4478701299490362,0.5896320196984624,3.6281083142139297,-0.1236605920348701,-0.0358330789960985,1.831256886963294,256,231.025,-2.35681269626334,4.064070831779231
29,1259,400,0.4478701299490362,0.5726242774471485,3.301773545307733,-0.1236605920348701,-0.0393853058260521,1.842758615649402,256,231.19,-2.4587452382696235,3.7811992621447614
29,1583,400,0.4478701299490362,0.5612173114215679,2.951619627124572,-0.1236605920348701,-0.0496134211067301,1.673469715555207,256,233.1575,-2.252490853690412,3.3930162557976966
29,1999,400,0.4478701299490362,0.5453865745121526,2.7666338117608475,-0.1236605920348701,-0.047585402136778,1.6046317673638772,256,231.7475,-2.342863459745584,3.198297321577792
29,2503,400,0.4478701299490362,0.5324926665296708,2.582593435974905,-0.1236605920348701,-0.0547038811922792,1.3654772431120883,256,232.895,-2.000320302996437,2.9213553287810874
29,3163,400,0.4478701299490362,0.5156993144714823,1.9986993748530064,-0.1236605920348701,-0.0526544184658855,1.516399427696765,256,232.46,-2.2689486647477057,2.5088376622166835
29,3989,400,0.4478701299490362,0.5025865957122442,1.633346931168467,-0.1236605920348701,-0.0532798111565899,1.4963435801957796,256,232.4675,-2.1593005571341743,2.2151447599537537
29,5003,400,0.4478701299490362,0.495048803739309,1.421269952609842,-0.1236605920348701,-0.0567080305620319,1.4488015310023066,256,233.9475,-2.0937241037025056,2.0295403800925493
29,6311,400,0.4478701299490362,0.481740198793445,1.0431360291755531,-0.1236605920348701,-0.0651659400210436,1.1812971036610596,256,234.93,-1.866476026304452,1.575942772591108
29,7919,400,0.4478701299490362,0.4752755368815078,0.8621893516084549,-0.1236605920348701,-0.0637530485472711,1.2398283873939444,256,234.935,-1.998199078706148,1.5101473134151109
97,97,400,0.5461958159670286,1.0058463424015789,6.324699144411459,-0.1236687027678736,-0.0037877542156849,2.491820255617305,256,225.17,-3.0173028056005933,6.797866389803769
97,127,400,0.5461958159670286,0.9588856697641136,6.430905709381909,-0.1236687027678736,-0.0049392548310887,2.5113265170575665,256,226.0475,-2.9139985044168206,6.903861898838745
97,173,400,0.5461958159670286,0.912939187099536,5.842631027517768,-0.1236687027678736,-0.0072818750592026,2.575989983281894,256,226.4625,-2.9110384272508,6.385300440674815
97,251,400,0.5461958159670286,0.8575534015819016,5.45697260453256,-0.1236687027678736,-0.0076432283593162,2.395002978709704,256,225.58,-2.7816212043673736,5.959411822877089
97,397,400,0.5461958159670286,0.7987176330494011,4.7586585907633205,-0.1236687027678736,-0.0174732395763041,2.368417161363747,256,227.4325,-2.716135835576264,5.315470951259903
97,499,400,0.5461958159670286,0.7734818582753863,4.944338359835183,-0.1236687027678736,-0.0243266273465864,2.1415568874757063,256,228.335,-2.630419501892518,5.3882044986091895
97,631,400,0.5461958159670286,0.7540611575401347,4.123321803778795,-0.1236687027678736,-0.0244308094557477,2.0694519204419297,256,229.68,-2.560512947720317,4.613503435409841
97,797,400,0.5461958159670286,0.7270606788915398,3.692620710823015,-0.1236687027678736,-0.0323091360820221,1.8353401070048865,256,229.915,-2.4351439760356857,4.123581092009684
97,997,400,0.5461958159670286,0.7081708987361828,3.2734394224937646,-0.1236687027678736,-0.0345617120804696,1.9325221105459336,256,230.8075,-2.492587064724866,3.80132179123068
97,1259,400,0.5461958159670286,0.6856661628215963,3.016482509761331,-0.1236687027678736,-0.0386520393232845,1.745089508540007,256,231.8075,-2.199154716891738,3.484896573000757
97,1583,400,0.5461958159670286,0.6652739353991229,2.657658005853276,-0.1236687027678736,-0.0433242572654178,1.836013065083317,256,231.2625,-2.382096881970248,3.2301842132040464
97,1999,400,0.5461958159670286,0.6487391383777095,2.383474032437192,-0.1236687027678736,-0.0454051860841078,1.8355095101504089,256,232.4975,-2.4211946364625634,3.008329042035628
97,2503,400,0.5461958159670286,0.6306061759408699,1.886699617772092,-0.1236687027678736,-0.0475691163013085,1.6513020304417385,256,231.8575,-2.299203983511453,2.50727618012902
97,3163,400,0.5461958159670286,0.6150375918907536,1.6597219688386833,-0.1236687027678736,-0.0591337391212553,1.4437213407069331,256,234.3825,-1.9843185438256008,2.199774607421946
97,3989,400,0.5461958159670286,0.5991291223822933,1.25541668325123,-0.1236687027678736,-0.0613902914684977,1.3770819464051312,256,235.0975,-1.9073080813716603,1.863444588846276
97,5003,400,0.5461958159670286,0.5878678382529776,1.0703364688324228,-0.1236687027678736,-0.0678131264809711,1.3115356395941742,256,234.7425,-2.053081922252232,1.6928514082571924
