Q,observed_R_under_global_mean,mc_R_mean,observed_lag1_under_global_mean,mc_lag1_mean,observed_runs,mc_runs_mean
997,0.7803913320971058,0.9972160356347439,0.3330134234871826,-0.0001386747651386,176,225.005
1999,0.8686603020877296,0.9972160356347439,0.338086600884186,-0.0187280961641021,172,228.46
3989,0.9755284763576532,0.9972160356347439,0.3216006446606064,-0.0321369605065091,174,230.53
7919,1.06890228056202,0.9972160356347439,0.3401795186275408,-0.0432568048936214,176,230.785
